"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","year","model"
"83","Crassostrea-77","Cupped oysters",1.33994208852821,1.58508809809485,1.75666362596153,1.85909597312854,1.94448895571762,0.17718851105417,1.71369406668073,1971,"COM-SIR"
"84","Crassostrea-77","Cupped oysters",1.31841170252923,1.57515205800469,1.75247876447053,1.85672480679384,1.94341614201341,0.182075180257089,1.70701258321329,1972,"COM-SIR"
"85","Crassostrea-77","Cupped oysters",1.30037528260508,1.56494330659454,1.74820221912889,1.85390202947125,1.94235092602442,0.186982333480061,1.70048787188177,1973,"COM-SIR"
"86","Crassostrea-77","Cupped oysters",1.27793253484116,1.55551816937294,1.74416259373267,1.85144122000377,1.94129435435563,0.191913737844621,1.69412049210564,1974,"COM-SIR"
"87","Crassostrea-77","Cupped oysters",1.25382402561315,1.5464470304525,1.74035762005567,1.84897841508838,1.94024744246467,0.196869148425421,1.6879111020348,1975,"COM-SIR"
"88","Crassostrea-77","Cupped oysters",1.23094761429851,1.53865910610876,1.73678339836325,1.84663599425332,1.93921117082486,0.201844944316841,1.6818604441983,1976,"COM-SIR"
"89","Crassostrea-77","Cupped oysters",1.20388824115286,1.52933680941055,1.732439265882,1.84441368071665,1.93818648135992,0.20683481215956,1.67596933440805,1977,"COM-SIR"
"90","Crassostrea-77","Cupped oysters",1.18725196677904,1.52297371818512,1.72861905479872,1.84260954572193,1.93717427417701,0.21183046387372,1.6702386522611,1978,"COM-SIR"
"91","Crassostrea-77","Cupped oysters",1.17008305858604,1.51758122635962,1.72601081464425,1.84126751716551,1.93617540462065,0.216822334860905,1.66466932651917,1979,"COM-SIR"
"92","Crassostrea-77","Cupped oysters",1.15042593069356,1.50776411803001,1.72428188316315,1.83946349930526,1.93519068066622,0.221800181875364,1.65926230619263,1980,"COM-SIR"
"93","Crassostrea-77","Cupped oysters",1.12522460208327,1.50100537300115,1.72214929759067,1.83845074362358,1.93422086066681,0.226753514386636,1.65401850974816,1981,"COM-SIR"
