Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Local currency in bn,1.04272,1.31002,1.38384,1.4561,1.41726,1.44672,1.47741,1.75693,1.73657,1.67112,1.73296,1.70163,1.74576,1.82647,2.01938,2.02485,2.31133,2.56349,2.39469,2.30788,2.68196,2.51601,2.79674,2.85719,2.90901,2.84686,2.89424,2.88916,3.00379,3.12606,3.29079,3.4365,3.57279,3.72119,3.86624,4.03048,4.15226,4.33827
US$ in bn,0.564705,0.709469,0.749448,0.788583,0.767545,0.7835,0.800121,0.951502,0.940479,0.905033,0.938522,0.921555,0.945453,0.989165,1.09364,1.0966,1.25175,1.38831,1.29689,1.24988,1.45247,1.3626,1.51463,1.54737,1.57544,1.54178,1.56744,1.56468,1.62677,1.69299,1.7822,1.86111,1.93492,2.01529,2.09384,2.18279,2.24874,2.34948
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),40.364,52.0873,47.987,48.5554,57.6488,73.8363,83.4885,95.2673,126.801,136.136,86.295,107.518,126.814,117.188,140.392,127.292,150.476,164.074,187.75,215.66,238.227,242.524,300.979,365.916,420.417,478.201,494.339,516.261,544.526,574.527,605.859,641.582,680.74,722.553,770.185,820.74,873.608,933.672
Percentage of GDP,8.66038,9.70766,8.00773,7.02354,7.14246,7.93079,7.95424,8.51357,10.2648,9.9146,6.59711,8.36097,9.48143,8.87021,10.8215,10.1293,11.4261,11.6189,12.4888,13.0643,13.9519,14.6165,16.9438,18.916,20.6384,22.4998,22.0398,21.6502,21.5119,21.4185,21.3163,21.301,21.3358,21.3926,21.5635,21.763,21.9766,22.3261
US$ in bn (Nominal),5.1709,6.67794,6.16027,6.24815,7.44761,9.54502,10.8028,12.3151,16.3947,17.5838,11.1415,13.8598,16.2767,15.0265,18.0013,16.3466,19.3197,21.0945,24.1665,27.6403,30.5898,31.2827,38.7344,47.0044,54.1979,61.6513,63.743,66.5371,70.1697,74.0357,78.0733,82.6767,87.7228,93.1109,99.2489,105.764,112.576,120.317
Percentage growth,-100,14.6096,-14.3656,-7.23702,7.9724,17.8933,6.31963,9.58041,25.7588,1.46011,-37.4096,29.8338,22.1146,-5.89137,23.9676,-3.55705,22.6558,9.25722,15.0554,11.4618,8.97196,2.18327,23.8142,16.9822,10.8266,12.2256,0.422287,1.30453,2.49104,2.58344,2.62125,3.05589,3.25838,3.2955,3.73399,3.70643,3.587,4.00901
Local currency in bn,74.2347,85.0801,72.8578,67.5851,72.9733,86.0305,91.4674,100.23,126.048,127.889,80.0461,103.927,126.91,119.433,148.059,142.792,175.143,191.356,220.166,245.4,267.418,273.256,338.33,395.786,438.636,492.262,494.341,500.79,513.265,526.525,540.326,556.838,574.982,593.93,616.108,638.943,661.862,688.396
US$ in bn,9.57303,10.9716,9.39547,8.71552,9.41036,11.0942,11.7953,12.9253,16.2547,16.4921,10.3224,13.402,16.3658,15.4017,19.0931,18.4139,22.5858,24.6766,28.3917,31.6459,34.4852,35.2381,43.6298,51.0391,56.5649,63.4803,63.7484,64.58,66.1887,67.8987,69.6784,71.8077,74.1475,76.591,79.451,82.3957,85.3513,88.773
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),342.145,377.152,456.757,527.096,596.169,630.544,804.633,1031.44,1179.36,1436.97,1613.26,1809.94,2032.17,1737.4,2125,2494.51,2806.2,2493.17,2869.67,3428.31,3948.46,4037.58,4638.25,5240.46,5975.8,6749.66,7642.45,8710.01,9804.18,11039.9,12645,14443.9,16304.1,18319,20605.6,23217.5,26122,29029.6
Percentage of GDP,8.91828,8.48867,8.83856,8.83772,8.69638,7.99494,8.73894,9.54849,9.40393,10.2229,9.97154,10.0783,10.3557,8.18163,9.28911,9.78783,9.77325,7.6228,7.56163,7.77332,7.60277,6.98349,6.69099,6.45118,6.54626,6.60824,6.74247,6.79804,6.77535,6.7527,6.85631,6.96307,7.01762,7.07296,7.1708,7.32124,7.49367,7.61423
US$ in bn (Nominal),24.6068,23.2629,26.1031,23.2056,21.1775,20.156,25.6301,31.812,33.2724,39.5511,39.0728,42.0346,45.2119,36.8184,43.7269,53.5531,61.9265,56.5332,63.326,82.9232,90.7584,83.4655,101.405,112.236,111.751,115.239,125.201,140.241,154.175,167.926,184.458,203.707,225.163,247.496,271.332,296.925,324.783,357.472
Percentage growth,-100,1.95508,9.80928,2.33265,2.7597,-2.91386,16.0825,16.9959,13.3329,16.8779,3.92821,7.52653,8.28661,-17.3981,18.5995,13.1143,6.77187,-14.9647,8.71535,12.9241,5.5592,-1.98499,4.53362,3.85146,6.51788,5.14032,7.26835,7.52991,5.80893,5.97026,8.02536,8.0747,7.17123,7.05045,7.54304,8.10754,8.17995,6.85692
Local currency in bn,1842.88,1878.91,2063.22,2111.35,2169.62,2106.4,2445.16,2860.73,3242.15,3789.36,3938.21,4234.62,4585.53,3787.73,4492.23,5081.35,5425.46,4613.56,5015.64,5663.87,5978.74,5860.06,6125.73,6361.66,6776.31,7124.63,7642.47,8217.95,8695.32,9214.45,9953.95,10757.7,11529.2,12342,13273,14349.1,15522.8,16587.2
US$ in bn,30.1931,30.7834,33.803,34.5915,35.5461,34.5103,40.0605,46.8691,53.1181,62.0833,64.5221,69.3783,75.1274,62.0567,73.5989,83.2508,88.8885,75.5866,82.1742,92.7945,97.9531,96.0088,100.361,104.227,111.02,116.727,125.211,134.639,142.461,150.966,163.081,176.25,188.889,202.206,217.459,235.09,254.32,271.758
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),13212.1,15792.1,20105.3,25927.2,32167.5,38436.4,45123.3,54137.9,66915.8,83120.6,139433,145668,172203,207727,208544,213446,239908,287416,322958,386134,489178,558911,592720,663394,737829,833420,946085,1082550,1214780,1352910,1506920,1670150,1843030,2030450,2226500,2441440,2675120,2934590
Percentage of GDP,7.94616,7.91589,8.58273,9.355,10.2422,10.4917,10.627,10.722,11.3103,11.9201,13.1322,11.9234,12.3908,12.6177,11.447,10.5998,10.4497,10.36,9.67166,9.77335,9.885,9.96951,9.19394,8.94159,8.96572,9.17462,9.32292,9.45929,9.5847,9.68455,9.81304,9.90468,9.95532,9.98642,9.96558,9.94088,9.90906,9.88025
US$ in bn (Nominal),7.83773,8.9254,10.9182,13.3184,15.8606,18.4483,20.9403,24.1909,28.7469,28.8479,13.6472,18.5601,20.4963,20.2537,22.3753,24.8952,26.8449,29.6007,35.237,42.2432,50.6472,53.8244,65.2628,75.6587,78.722,79.9852,79.8368,89.096,104.191,117.925,131.126,145.502,159.436,174.369,188.602,202.742,219.216,243.278
Percentage growth,-100,8.65697,18.1958,18.7265,16.6155,10.572,9.00652,9.15549,13.7747,10.3381,-4.74771,-8.12496,9.14811,5.5153,-5.20242,-2.99092,3.59789,4.79568,-1.51611,7.46265,7.26685,5.47233,-2.03264,3.5549,6.52155,8.27808,6.68822,7.04805,7.34312,6.66183,6.68628,6.1856,5.78378,5.62532,5.12746,5.12078,5.03728,5.15846
Local currency in bn,214176,232717,275062,326572,380834,421095,459021,501047,570064,628998,599135,550455,600812,633948,600968,582993,603969,632933,623337,669854,718532,757852,742448,768841,818982,886778,946087,1012770,1087140,1159560,1237090,1313610,1389590,1467760,1543020,1622030,1703740,1791620
US$ in bn,18.0735,19.6382,23.2115,27.5582,32.1371,35.5347,38.7351,42.2815,48.1056,53.0788,50.5588,46.4509,50.7003,53.4966,50.7134,49.1966,50.9667,53.4109,52.6011,56.5266,60.6343,63.9524,62.6524,64.8797,69.1108,74.8319,79.8368,85.4637,91.7394,97.851,104.394,110.851,117.262,123.859,130.209,136.877,143.772,151.189
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),32039.2,32945.9,34801.8,37233.3,38559.2,39838.6,41457.1,41131.6,44720.5,47308.1,49604.3,47999.5,47424.7,48400.2,47590.6,46135.6,44777.9,43353.9,44567.8,41339,39977.7,37699,34788.2,33573.7,33955.5,35189.9,36322.8,37623.4,38797.5,39586.4,40254.9,41266.5,42292.4,43286.1,44305.2,45339.6,46495.6,47636.8
Percentage of GDP,8.32213,7.95033,7.79435,7.83918,7.9047,8.11515,8.36238,8.20007,8.73249,9.03647,9.68426,9.49865,9.29556,9.56949,9.53113,9.24333,8.88954,8.60152,8.79538,8.05934,7.97771,8.00266,7.21032,7.11979,7.14408,7.32843,7.4504,7.57337,7.60043,7.66599,7.71474,7.78831,7.84846,7.89671,7.9488,8.0029,8.07754,8.14965
US$ in bn (Nominal),250.025,238.747,240.313,276.81,304.221,358.162,405.67,437.07,411.016,390.672,379.185,422.11,439.841,398.292,379.915,398,414.007,393.634,383.049,351.032,386.703,402.767,396.443,421.176,425.45,360.694,343.115,305.259,302.503,301.076,302.818,311.438,321.478,331.323,341.487,351.89,364.078,377.047
Percentage growth,-100,0.644371,3.23129,4.02644,1.78973,2.79349,3.82875,-0.05,9.32969,5.14008,4.91424,-2.00422,0.06,3.31606,-0.127045,-1.34787,-1.60085,-1.97527,3.97237,-6.38264,-2.07597,-5.23035,-5.67908,-1.66528,2.10027,4.2177,1.79499,2.55862,2.18644,1.67985,1.13493,1.76351,1.65663,1.51753,1.52245,1.5029,1.71626,1.62163
Local currency in bn,29374.8,29564.1,30519.4,31748.3,32316.5,33219.2,34491.1,34473.6,37689.8,39627.1,41574.5,40741.3,40765,42116.8,42063.3,41496.4,40832.1,40025.5,41615.5,38959.3,38150.5,36155.1,34101.8,33533.9,34238.2,35682.3,36322.8,37252.2,38066.7,38706.1,39145.4,39835.8,40495.7,41110.2,41736.1,42363.4,43090.4,43789.2
US$ in bn,277.48,279.268,288.292,299.9,305.267,313.795,325.809,325.643,356.025,374.325,392.72,384.849,385.074,397.843,397.338,391.982,385.707,378.088,393.107,368.017,360.377,341.528,322.132,316.768,323.421,337.061,343.112,351.891,359.585,365.625,369.775,376.296,382.529,388.335,394.247,400.172,407.04,413.64
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08
Percentage of GDP,16.2684,13.8908,12.5416,15.2797,14.3236,20.4379,17.7856,14.47,15.8293,16.4823,11.1739,9.82237,13.2402,14.0301,18.7515,19.7844,13.9686,13.205,15.0636,16.2305,20.7328,22.897,21.3369,22.6087,21.6523,23.3959,23.6929,24.2327,25.0536,25.74,26.219,26.2881,26.3384,26.4071,26.1851,26.0192,25.8647,25.6642
US$ in bn (Nominal),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07
Percentage growth,-100,-21.9228,-7.78701,29.4941,-7.41317,56.4058,-8.71777,-14.6596,12.6842,6.58065,-27.2836,-14.5201,41.9439,6.71091,34.4238,9.76052,-27.1563,-5.63072,8.94921,15.8338,31.2631,15.1788,-8.86765,4.66024,-0.625931,10.9073,4.02589,4.45293,5.47629,4.76378,3.79561,2.16883,2.09471,2.16588,1.04368,1.25417,1.29492,1.11037
Local currency in bn,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06
US$ in bn,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),13310.8,13639.3,16770.1,18638.3,20472,23203.1,25151.4,30248,32706.7,37330.3,42612.8,43098,42967.5,47992.3,53407.9,54379.7,57390.3,55047.8,54794.6,58380.5,63730.6,69369.7,69119.7,66809.2,75075.5,79789.2,85945.1,91112.6,94280.2,97988.2,102728,107958,113128,118506,124007,129926,135760,142288
Percentage of GDP,9.04107,8.20733,8.3637,7.68699,7.40175,7.4129,6.85953,7.0477,6.77248,7.03734,8.11793,7.49287,6.76456,6.97395,7.00947,6.70597,6.55116,5.98477,5.672,5.59597,5.77014,6.02319,5.46267,5.01315,5.45029,5.5863,5.78245,5.82543,5.70887,5.64993,5.6616,5.71005,5.74549,5.78646,5.82522,5.87398,5.90711,5.96155
US$ in bn (Nominal),18.1975,20.3131,23.6944,25.416,26.2236,28.9121,31.2917,39.2193,40.6569,39.2996,30.3687,36.2339,38.0121,37.1805,42.6716,45.6341,50.0679,53.7404,57.3561,62.8169,57.9303,54.3119,59.7684,60.2845,66.6268,72.8679,81.6299,86.4426,92.5755,97.2981,102.578,108.406,114.235,120.342,126.672,133.508,140.332,147.19
Percentage growth,-100,-3.0778,11.3952,0.826302,1.79962,6.51236,0.662193,11.9038,2.9798,9.91296,8.72488,2.22248,-1.84712,7.75384,7.98692,-1.51977,2.47451,-5.06054,-0.319878,4.0564,6.01053,5.1434,-3.41521,-4.85485,11.2057,5.5408,7.06687,4.50077,1.63531,2.08276,2.86829,3.01474,2.63316,2.52281,2.4117,2.54179,2.26388,2.57572
Local currency in bn,35172.1,34089.6,37974.1,38287.9,38976.9,41515.2,41790.2,46764.8,48158.3,52932.2,57550.5,58829.5,57742.9,62220.1,67189.6,66168.5,67805.8,64374.5,64168.6,66771.5,70784.9,74425.6,71883.8,68394,76058,80272.2,85944.9,89813.1,91281.8,93183,95855.8,98745.6,101346,103902,106408,109113,111583,114457
US$ in bn,33.4063,32.3781,36.0676,36.3656,37.0201,39.431,39.6921,44.4169,45.7405,50.2747,54.6611,55.876,54.8439,59.0964,63.8163,62.8465,64.4016,61.1426,60.947,63.4192,67.2311,70.689,68.2749,64.9602,72.2395,76.2421,81.63,85.304,86.699,88.5047,91.0433,93.788,96.2576,98.686,101.066,103.635,105.981,108.711
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),4.15766,1.12145,10.5442,16.3749,17.5761,18.0074,41.0613,64.9745,108.813,100.43,340.786,638.988,1628.49,2010.37,2340.66,2406.31,3277.51,3895.2,4403.88,5221.16,6392.01,6933.11,8438.21,9659.4,10689.4,12428.6,13717.2,15271.4,17309,19377.7,21553.8,23907.9,26248,28503.5,30970.3,33537.6,36240.7,39397.6
Percentage of GDP,1.81557,0.260198,1.72009,2.26799,2.08248,1.89352,3.70589,4.54367,6.30437,4.56293,8.0374,6.18635,11.9128,12.8032,12.7279,11.8496,12.3261,12.7319,12.4379,13.2908,14.0243,14.8153,15.151,14.9233,14.698,14.8818,14.6755,14.7964,15.1001,15.1335,15.1209,15.1088,14.9845,14.741,14.5371,14.3014,14.053,13.893
US$ in bn (Nominal),0.01,0,0.01,0.02,0.02,0.03,0.06,0.08,0.118144,0.08,0.103321,0.09,0.20646,0.224507,0.232756,0.227676,0.309625,0.365568,0.433457,0.543691,0.730998,0.814123,1.02173,1.2029,1.33488,1.58122,1.70018,1.81992,2.00266,2.18307,2.3644,2.55368,2.72993,2.91398,3.11212,3.31257,3.51847,3.75564
Percentage growth,-100,-84.384,614.571,36.2261,-1.32022,-5.19209,115.178,30.6383,48.4795,-22.1506,82.3482,-17.4364,104.051,13.5366,5.4096,-1.12866,11.2537,10.2893,6.15892,14.1631,14.7477,13.5662,10.6176,6.40583,6.28143,9.35063,5.90971,8.07985,9.29819,7.33624,6.91066,6.61516,5.52442,4.3761,4.43512,4.08438,3.86395,4.4895
Local currency in bn,290.859,45.4206,324.562,442.138,436.301,413.648,890.081,1162.79,1726.5,1344.07,2450.89,2023.54,4129.06,4687.99,4941.59,4885.82,5435.65,5994.94,6364.17,7265.53,8337.02,9468.04,10473.3,11144.2,11844.2,12951.8,13717.2,14825.5,16204,17392.7,18594.7,19824.8,20920,21835.5,22803.9,23735.3,24652.4,25759.2
US$ in bn,0.04,0.01,0.04,0.05,0.05,0.05,0.110321,0.144122,0.213992,0.166591,0.303776,0.250809,0.511778,0.581055,0.612487,0.605574,0.673724,0.743045,0.788809,0.900529,1.03334,1.17352,1.29812,1.38128,1.46804,1.60531,1.70018,1.83755,2.00841,2.15575,2.30473,2.45719,2.59294,2.7064,2.82644,2.94188,3.05555,3.19273
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),6.21192,9.23433,8.84288,16.9487,19.5404,25.0294,27.1153,33.0314,33.2017,33.0298,28.8156,25.606,29.4113,33.6055,38.9554,45.284,66.4423,73.1004,95.6384,140.646,154.754,150.731,214.663,274.779,319.232,392.941,422.037,458.039,499.417,543.32,588.137,632.68,676.55,718.287,761.827,805.302,850.211,888.561
Percentage of GDP,37.0161,46.3699,36.8696,61.111,53.502,59.4942,58.0439,63.1893,62.8756,62.0494,58.3779,54.1498,60.0569,64.2154,69.1946,71.2245,80.7376,77.3787,82.043,96.9404,93.0769,88.576,94.5899,93.5434,92.9579,95.0346,87.5801,85.7715,85.6235,86.1348,86.8275,87.3687,87.5582,87.5409,87.8594,88.3119,89.0919,89.6151
US$ in bn (Nominal),0.772579,1.14943,1.10247,2.11746,2.451,3.14141,3.40634,4.14564,4.16775,4.14149,3.61154,3.20399,3.66454,4.18304,4.84912,5.64551,8.28242,9.12491,11.9526,17.5023,19.2961,18.8781,26.8253,34.2699,39.9548,49.1837,53.0392,57.7828,63.2179,68.8711,74.5148,80.0781,85.5024,90.6014,95.9048,101.179,106.611,111.081
Percentage growth,-100,31.675,-14.056,71.7344,-0.859566,16.9371,1.82262,12.3372,-0.887032,-1.54823,-10.2808,-14.3807,17.6787,16.0223,18.737,17.3868,44.4198,2.47169,23.4706,48.9576,8.97652,-4.03092,35.7216,14.3921,8.51668,14.3108,1.26171,3.31219,4.69863,5.28528,5.27986,4.94976,4.32569,3.5798,3.47523,3.12804,3.00189,1.96166
Local currency in bn,20.6801,27.2305,23.403,40.191,39.8456,46.5943,47.4435,53.2967,52.8239,52.0061,46.6595,39.9495,47.0121,54.5445,64.7645,76.025,109.795,112.509,138.915,206.925,225.5,216.41,293.715,335.987,364.602,416.779,422.038,436.016,456.503,480.63,506.007,531.053,554.025,573.858,593.801,612.375,630.758,643.131
US$ in bn,2.59896,3.42219,2.94116,5.05099,5.00757,5.85571,5.96244,6.69804,6.63862,6.53584,5.86391,5.02064,5.90822,6.85485,8.13925,9.5544,13.7984,14.1395,17.4581,26.0052,28.3396,27.1972,36.9125,42.225,45.8212,52.3785,53.0394,54.7961,57.3708,60.403,63.5922,66.7399,69.6268,72.1194,74.6257,76.96,79.2702,80.8252
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),6.60053,8.58449,11.533,12.7871,14.5544,15.8083,22.4204,28.2963,37.5126,40.8535,31.6481,37.7763,49.0283,57.0454,59.0151,56.9576,66.6573,74.1208,84.4409,112.854,101.881,106.5,116.585,127.926,139.55,148.633,160.98,175.09,188.59,204.1,221.136,239.809,258.542,278.321,298.986,319.917,339.36,365.567
Percentage of GDP,6.87218,7.84529,9.31424,9.10103,9.28936,8.8292,11.0315,12.2323,14.2186,13.9426,10.7458,12.0794,13.23,15.5602,14.8107,13.0807,13.5231,13.6357,14.1494,16.9619,13.2322,14.9399,14.6219,14.4493,14.815,15.0631,14.9495,14.9718,14.9821,15.1192,15.2878,15.4839,15.5991,15.6968,15.7672,15.782,15.67,15.7984
US$ in bn (Nominal),2.52046,3.16906,4.26379,4.64975,5.71346,6.14131,8.54352,11.2986,14.91,14.5223,8.06757,9.94114,12.9022,15.0119,15.5303,14.9889,17.5414,19.5718,23.0199,32.8302,30.5648,30.2161,36.1941,41.8058,45.1793,47.1715,49.1863,51.8741,59.2069,65.9075,71.6025,77.9101,84.6247,91.7883,99.3513,107.126,114.198,123.04
Percentage growth,-100,24.5013,29.4165,7.20015,11.1652,4.39757,36.6356,21.6644,27.8873,5.29527,-28.6552,19.4297,18.9727,18.1354,0.395836,-6.63248,10.4482,5.86508,9.51266,27.5777,-18.2959,11.2248,5.0956,3.92393,8.27827,6.57258,5.02616,5.30247,4.43355,5.03757,5.15743,5.2523,4.6382,4.48076,4.26277,3.85027,2.95489,4.55115
Local currency in bn,16.2629,20.2475,26.2036,28.0903,31.2266,32.5998,44.5429,54.1929,69.3059,72.9758,52.0644,62.1804,73.9776,87.3938,87.7397,81.9204,90.4796,95.7863,104.898,133.827,109.342,121.615,127.812,132.828,143.823,153.276,160.98,169.516,177.032,185.95,195.54,205.81,215.356,225.006,234.597,243.63,250.829,262.245
US$ in bn,4.96909,6.18658,8.00645,8.58292,9.54123,9.96081,13.61,16.5585,21.1763,22.2976,15.9082,18.9991,22.6037,26.703,26.8087,25.0306,27.6459,29.2673,32.0514,40.8905,33.4092,37.1593,39.0528,40.5852,43.945,46.8333,49.1872,51.7953,54.0917,56.8166,59.7469,62.885,65.8017,68.7501,71.6808,74.4407,76.6403,80.1283
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.34111,0.340977,0.535692,0.589281,1.01377,1.13341,1.62115,2.08608,2.69173,3.04512,3.3073,3.15638,3.29462,3.94077,3.98776,4.83085,4.91026,1.82273,4.44224,16.6355,15.9228,19.3443,21.9601,23.8402,25.4843,27.6422,29.6393,31.838,35.2746,39.1868,43.3507,47.0747,51.1231,55.0438,59.164,63.7583,69.1644,74.7603
Percentage of GDP,23.0417,19.9006,26.0792,23.5167,33.6701,32.0834,39.3035,44.4216,50.7777,50.9064,52.0267,45.5137,44.837,40.1223,37.6151,39.7329,35.6648,14.348,26.627,84.2846,65.7616,76.1487,80.3915,75.4826,78.4872,78.2156,78.1445,76.7161,76.5103,77.1752,77.663,76.9356,76.3673,75.4402,74.4057,73.5858,73.2667,72.7735
US$ in bn (Nominal),0.04,0.04,0.06,0.06,0.1,0.103442,0.139927,0.177237,0.228694,0.258718,0.280994,0.268171,0.279917,0.321903,0.311544,0.37741,0.383614,0.142401,0.34705,1.29965,1.24397,1.51128,1.71564,1.63267,1.65862,1.79884,1.92872,2.07178,2.29541,2.54999,2.82094,3.06328,3.32672,3.57541,3.83605,4.12642,4.46815,4.72083
Percentage growth,-100,-5.95079,52.4191,-3.60739,52.4335,0.453171,31.7104,21.3434,24.6939,10.6853,12.2056,-6.19395,3.21213,-7.42817,-0.532639,20.5811,0.964592,-63.2599,121.927,249.954,-12.4593,11.5861,13.0227,0.515816,7.53278,3.34158,4.39613,2.78471,4.91818,5.29963,4.85835,3.12492,3.232,2.34689,2.17247,2.43859,3.11697,2.74798
Local currency in bn,1.41954,1.33507,2.0349,1.9615,2.98998,3.00353,3.95596,4.8003,5.98568,6.62527,7.43391,6.97346,7.19746,6.66282,6.62733,7.99131,8.06839,2.96434,6.57865,23.0223,20.1538,22.4889,25.4176,25.5487,27.4732,28.3912,29.6393,30.4647,31.963,33.6569,35.2921,36.395,37.5712,38.453,39.2884,40.2465,41.5009,42.6414
US$ in bn,0.09,0.09,0.132417,0.127641,0.194567,0.195449,0.257427,0.31237,0.389507,0.431127,0.483748,0.453785,0.468361,0.43357,0.431261,0.520019,0.525035,0.192899,0.428093,1.49813,1.31147,1.46342,1.654,1.66253,1.78777,1.8475,1.92872,1.98243,2.07993,2.19016,2.29657,2.36833,2.44488,2.50226,2.55662,2.61896,2.70059,2.77481
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.322707,0.302406,0.371598,0.698059,1.26889,43.0435,65.9183,31.814,28.943,77.6659,89.4178,112.519,134.827,155.626,158.247,237.303,329.071,294.318,355.016,538.837,529.931,737.281,724.943,518.074,752.1,562.397,694.968,812.235,973.603,1100.52,1232.28,1349.25,1486.63,1623.39,1745,1881.44,2016.74,2140.54
Percentage of GDP,3.13277,2.81807,3.55053,3.69156,2.68276,22.0922,20.3201,4.88352,3.92183,8.32498,9.45758,10.4133,11.0147,11.181,10.2055,12.9739,13.9369,9.67703,8.81466,10.871,8.08368,11.1868,8.6154,4.6725,5.3672,3.20451,3.19366,3.17938,3.29519,3.26086,3.2215,3.13054,3.07267,3.00177,2.90332,2.82377,2.73781,2.63383
US$ in bn (Nominal),0.05,0.05,0.07,0.09,0.04,0.145905,0.159717,0.07,0.05,0.1,0.106345,0.110111,0.125226,0.141774,0.142525,0.206973,0.277627,0.244196,0.300937,0.460387,0.454564,0.512784,0.534201,0.409376,0.554001,0.369044,0.382141,0.442168,0.519623,0.573034,0.625988,0.668691,0.718807,0.764345,0.800029,0.839935,0.876693,0.919067
Percentage growth,-100,-6.2674,22.8416,-5.59202,-34.203,698.734,-5.89455,-72.0396,-17.8029,120.76,17.6179,13.646,6.89267,2.57123,-5.21774,34.9064,18.836,-25.5287,-1.11779,35.9673,-19.0216,36.6318,-18.0839,-36.2673,29.1127,-33.2833,8.82295,7.8375,12.1931,7.09252,6.87418,5.02836,5.9544,5.2835,3.91606,4.23355,3.62634,2.60904
Local currency in bn,211.032,197.806,242.988,229.4,150.939,1205.6,1134.53,317.22,260.746,575.623,677.035,769.424,822.458,843.605,799.588,1078.7,1281.88,954.631,943.96,1283.48,1039.34,1420.07,1163.27,741.38,957.216,638.623,694.969,749.437,840.817,900.452,962.35,1010.74,1070.92,1127.51,1171.66,1221.26,1265.55,1298.57
US$ in bn,0.11604,0.108767,0.133612,0.12614,0.08,0.662921,0.623845,0.174429,0.143376,0.316517,0.372281,0.423082,0.452244,0.463872,0.439668,0.593141,0.704865,0.524922,0.519055,0.705745,0.571501,0.780852,0.639643,0.407662,0.526343,0.351159,0.382142,0.412092,0.462339,0.49513,0.529167,0.555775,0.588868,0.619981,0.64426,0.671535,0.695887,0.714043
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.4464,2.80457,3.65076,6.28755,7.00385,4.75758,14.9166,38.7262,63.2462,71.8287,94.4006,119.09,138.353,192.24,312.351,313.854,400.967,546.682,687.572,966.089,1121.43,1129.56,1176.78,1451.46,1719.35,2486.51,3025.57,3415.06,3972.64,4581.02,5266.2,6030.97,6894.67,7854.29,8940.21,10197.8,11635.9,13299.8
Percentage of GDP,1.6439,1.94943,2.08208,2.91668,2.43354,1.14416,2.73405,5.54924,6.92004,5.55979,5.08156,4.71149,4.69649,4.69451,4.81159,3.52443,3.82703,3.85555,3.53537,3.58738,3.5377,3.23121,2.95328,3.34682,3.59317,4.56797,4.8421,4.78159,4.91451,5.04013,5.17677,5.31356,5.4444,5.5588,5.67101,5.7977,5.92908,6.07396
