"","species","genus","family","order","class"
"1074","Scolopsis bilineata","Scolopsis","Nemipteridae","Perciformes","Actinopterygii"
"1075","Scolopsis lineata","Scolopsis","Nemipteridae","Perciformes","Actinopterygii"
"1076","Scolopsis taeniata","Scolopsis","Nemipteridae","Perciformes","Actinopterygii"
"1077","Cubiceps capensis","Cubiceps","Nomeidae","Perciformes","Actinopterygii"
"1078","Normanichthys crockeri","Normanichthys","Normanichthyidae","Scorpaeniformes","Actinopterygii"
"1079","Notacanthus chemnitzii","Notacanthus","Notacanthidae","Notacanthiformes","Actinopterygii"
"1080","Dissostichus eleginoides","Dissostichus","Nototheniidae","Perciformes","Actinopterygii"
"1081","Dissostichus mawsoni","Dissostichus","Nototheniidae","Perciformes","Actinopterygii"
"1082","Gobionotothen acuta","Gobionotothen","Nototheniidae","Perciformes","Actinopterygii"
"1083","Gobionotothen gibberifrons","Gobionotothen","Nototheniidae","Perciformes","Actinopterygii"
"1084","Lepidonotothen squamifrons","Lepidonotothen","Nototheniidae","Perciformes","Actinopterygii"
"1085","Notothenia coriiceps","Notothenia","Nototheniidae","Perciformes","Actinopterygii"
"1086","Notothenia neglecta","Notothenia","Nototheniidae","Perciformes","Actinopterygii"
"1087","Notothenia rossii","Notothenia","Nototheniidae","Perciformes","Actinopterygii"
"1088","Nototheniops larseni","Nototheniops","Nototheniidae","Perciformes","Actinopterygii"
"1089","Nototheniops nybelini","Nototheniops","Nototheniidae","Perciformes","Actinopterygii"
"1090","Patagonotothen brevicauda brevicauda","Patagonotothen","Nototheniidae","Perciformes","Actinopterygii"
"1091","Patagonotothen ramsayi","Patagonotothen","Nototheniidae","Perciformes","Actinopterygii"
"1092","Pleuragramma antarctica","Pleuragramma","Nototheniidae","Perciformes","Actinopterygii"
"1093","Trematomus eulepidotus","Trematomus","Nototheniidae","Perciformes","Actinopterygii"
"1094","Trematomus hansoni","Trematomus","Nototheniidae","Perciformes","Actinopterygii"
"1095","Carcharias taurus","Carcharias","Odontaspididae","Lamniformes","Elasmobranchii"
"1096","Myrichthys colubrinus","Myrichthys","Ophichthidae","Anguilliformes","Actinopterygii"
"1097","Scolecenchelys australis","Scolecenchelys","Ophichthidae","Anguilliformes","Actinopterygii"
"1098","Brotula barbata","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii"
"1099","Brotula clarkae","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii"
"1100","Genypterus blacodes","Genypterus","Ophidiidae","Ophidiiformes","Actinopterygii"
"1101","Genypterus capensis","Genypterus","Ophidiidae","Ophidiiformes","Actinopterygii"
"1102","Genypterus chilensis","Genypterus","Ophidiidae","Ophidiiformes","Actinopterygii"
"1103","Genypterus maculatus","Genypterus","Ophidiidae","Ophidiiformes","Actinopterygii"
"1104","Lepophidium brevibarbe","Lepophidium","Ophidiidae","Ophidiiformes","Actinopterygii"
"1105","Ophidion holbrookii","Ophidion","Ophidiidae","Ophidiiformes","Actinopterygii"
"1106","Spectrunculus grandis","Spectrunculus","Ophidiidae","Ophidiiformes","Actinopterygii"
"1107","Oplegnathus fasciatus","Oplegnathus","Oplegnathidae","Perciformes","Actinopterygii"
"1108","Allocyttus niger","Allocyttus","Oreosomatidae","Zeiformes","Actinopterygii"
"1109","Neocyttus rhomboidalis","Neocyttus","Oreosomatidae","Zeiformes","Actinopterygii"
"1110","Pseudocyttus maculatus","Pseudocyttus","Oreosomatidae","Zeiformes","Actinopterygii"
"1111","Hypomesus pretiosus","Hypomesus","Osmeridae","Osmeriformes","Actinopterygii"
"1112","Mallotus villosus","Mallotus","Osmeridae","Osmeriformes","Actinopterygii"
"1113","Osmerus eperlanus","Osmerus","Osmeridae","Osmeriformes","Actinopterygii"
"1114","Thaleichthys pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopterygii"
"1115","Lactophrys trigonus","Lactophrys","Ostraciidae","Tetraodontiformes","Actinopterygii"
"1116","Lactoria cornuta","Lactoria","Ostraciidae","Tetraodontiformes","Actinopterygii"
"1117","Oxynotus centrina","Oxynotus","Oxynotidae","Squaliformes","Elasmobranchii"
"1118","Oxynotus paradoxus","Oxynotus","Oxynotidae","Squaliformes","Elasmobranchii"
"1119","Magnisudis prionosa","Magnisudis","Paralepididae","Aulopiformes","Actinopterygii"
"1120","Notolepis annulata","Notolepis","Paralepididae","Aulopiformes","Actinopterygii"
"1121","Citharichthys sordidus","Citharichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1122","Cyclopsetta querna","Cyclopsetta","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1123","Etropus crossotus","Etropus","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1124","Hippoglossina macrops","Hippoglossina","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1125","Hippoglossina tetrophthalma","Hippoglossina","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1126","Paralichthys albigutta","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1127","Paralichthys californicus","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1128","Paralichthys dentatus","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1129","Paralichthys lethostigma","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1130","Paralichthys microps","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1131","Paralichthys olivaceus","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1132","Pseudorhombus natalensis","Pseudorhombus","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1133","Syacium ovale","Syacium","Paralichthyidae","Pleuronectiformes","Actinopterygii"
"1134","Parapriacanthus ransonneti","Parapriacanthus","Pempheridae","Perciformes","Actinopterygii"
"1135","Pempheris oualensis","Pempheris","Pempheridae","Perciformes","Actinopterygii"
"1136","Paristiopterus labiosus","Paristiopterus","Pentacerotidae","Perciformes","Actinopterygii"
"1137","Pentaceros decacanthus","Pentaceros","Pentacerotidae","Perciformes","Actinopterygii"
"1138","Gymnocephalus cernua","Gymnocephalus","Percidae","Perciformes","Actinopterygii"
"1139","Perca fluviatilis","Perca","Percidae","Perciformes","Actinopterygii"
"1140","Sander lucioperca","Sander","Percidae","Perciformes","Actinopterygii"
"1141","Percophis brasiliensis","Percophis","Percophidae","Perciformes","Actinopterygii"
"1142","Peristedion miniatum","Peristedion","Peristediidae","Scorpaeniformes","Actinopterygii"
"1143","Petromyzon marinus","Petromyzon","Petromyzontidae","Petromyzontiformes","Cephalaspidomorphi"
"1144","Phycis blennoides","Phycis","Phycidae","Gadiformes","Actinopterygii"
"1145","Phycis chesteri","Phycis","Phycidae","Gadiformes","Actinopterygii"
"1146","Phycis phycis","Phycis","Phycidae","Gadiformes","Actinopterygii"
"1147","Urophycis brasiliensis","Urophycis","Phycidae","Gadiformes","Actinopterygii"
"1148","Urophycis chuss","Urophycis","Phycidae","Gadiformes","Actinopterygii"
"1149","Urophycis earllii","Urophycis","Phycidae","Gadiformes","Actinopterygii"
"1150","Urophycis regia","Urophycis","Phycidae","Gadiformes","Actinopterygii"
"1151","Urophycis tenuis","Urophycis","Phycidae","Gadiformes","Actinopterygii"
"1152","Parapercis clathrata","Parapercis","Pinguipedidae","Perciformes","Actinopterygii"
"1153","Parapercis colias","Parapercis","Pinguipedidae","Perciformes","Actinopterygii"
"1154","Parapercis millepunctata","Parapercis","Pinguipedidae","Perciformes","Actinopterygii"
"1155","Pinguipes brasilianus","Pinguipes","Pinguipedidae","Perciformes","Actinopterygii"
"1156","Pinguipes chilensis","Pinguipes","Pinguipedidae","Perciformes","Actinopterygii"
"1157","Prolatilus jugularis","Prolatilus","Pinguipedidae","Perciformes","Actinopterygii"
"1158","Pseudopercis semifasciata","Pseudopercis","Pinguipedidae","Perciformes","Actinopterygii"
"1159","Grammoplites suppositus","Grammoplites","Platycephalidae","Scorpaeniformes","Actinopterygii"
"1160","Platycephalus indicus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii"
"1161","Sorsogona prionota","Sorsogona","Platycephalidae","Scorpaeniformes","Actinopterygii"
"1162","Plecoglossus altivelis altivelis","Plecoglossus","Plecoglossidae","Osmeriformes","Actinopterygii"
"1163","Plesiobatis daviesi","Plesiobatis","Plesiobatidae","Myliobatiformes","Elasmobranchii"
"1164","Plesiops corallicola","Plesiops","Plesiopidae","Perciformes","Actinopterygii"
"1165","Atheresthes evermanni","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1166","Atheresthes stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1167","Cleisthenes pinetorum","Cleisthenes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1168","Clidoderma asperrimum","Clidoderma","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1169","Eopsetta jordani","Eopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1170","Glyptocephalus cynoglossus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1171","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1172","Hippoglossoides dubius","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1173","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1174","Hippoglossoides platessoides","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1175","Hippoglossus hippoglossus","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1176","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1177","Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1178","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1179","Limanda ferruginea","Limanda","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1180","Limanda limanda","Limanda","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1181","Microstomus kitt","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1182","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1183","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1184","Pelotretis flavilatus","Pelotretis","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1185","Platichthys flesus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1186","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1187","Pleuronectes platessa","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1188","Pleuronectes putnami","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1189","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1190","Pleuronichthys decurrens","Pleuronichthys","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1191","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1192","Pseudopleuronectes americanus","Pseudopleuronectes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1193","Pseudopleuronectes herzensteini","Pseudopleuronectes","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1194","Reinhardtius hippoglossoides","Reinhardtius","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"1195","Plotosus lineatus","Plotosus","Plotosidae","Siluriformes","Actinopterygii"
"1196","Polymixia japonica","Polymixia","Polymixiidae","Polymixiiformes","Actinopterygii"
"1197","Polymixia nobilis","Polymixia","Polymixiidae","Polymixiiformes","Actinopterygii"
"1198","Eleutheronema tetradactylum","Eleutheronema","Polynemidae","Perciformes","Actinopterygii"
"1199","Galeoides decadactylus","Galeoides","Polynemidae","Perciformes","Actinopterygii"
"1200","Pentanemus quinquarius","Pentanemus","Polynemidae","Perciformes","Actinopterygii"
"1201","Polydactylus approximans","Polydactylus","Polynemidae","Perciformes","Actinopterygii"
"1202","Polydactylus octonemus","Polydactylus","Polynemidae","Perciformes","Actinopterygii"
"1203","Polydactylus quadrifilis","Polydactylus","Polynemidae","Perciformes","Actinopterygii"
"1204","Polydactylus sexfilis","Polydactylus","Polynemidae","Perciformes","Actinopterygii"
"1205","Polyprion americanus","Polyprion","Polyprionidae","Perciformes","Actinopterygii"
"1206","Polyprion oxygeneios","Polyprion","Polyprionidae","Perciformes","Actinopterygii"
"1207","Stereolepis gigas","Stereolepis","Polyprionidae","Perciformes","Actinopterygii"
"1208","Centropyge flavissima","Centropyge","Pomacanthidae","Perciformes","Actinopterygii"
"1209","Centropyge shepardi","Centropyge","Pomacanthidae","Perciformes","Actinopterygii"
"1210","Holacanthus bermudensis","Holacanthus","Pomacanthidae","Perciformes","Actinopterygii"
"1211","Pomacanthus arcuatus","Pomacanthus","Pomacanthidae","Perciformes","Actinopterygii"
"1212","Pomacanthus imperator","Pomacanthus","Pomacanthidae","Perciformes","Actinopterygii"
"1213","Pomacanthus maculosus","Pomacanthus","Pomacanthidae","Perciformes","Actinopterygii"
"1214","Pygoplites diacanthus","Pygoplites","Pomacanthidae","Perciformes","Actinopterygii"
"1215","Abudefduf luridus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii"
"1216","Abudefduf saxatilis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii"
"1217","Abudefduf septemfasciatus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii"
"1218","Abudefduf sexfasciatus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii"
"1219","Abudefduf sordidus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii"
"1220","Abudefduf vaigiensis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii"
"1221","Amblyglyphidodon curacao","Amblyglyphidodon","Pomacentridae","Perciformes","Actinopterygii"
"1222","Chromis chromis","Chromis","Pomacentridae","Perciformes","Actinopterygii"
"1223","Chromis limbata","Chromis","Pomacentridae","Perciformes","Actinopterygii"
"1224","Chromis margaritifer","Chromis","Pomacentridae","Perciformes","Actinopterygii"
"1225","Chromis ternatensis","Chromis","Pomacentridae","Perciformes","Actinopterygii"
"1226","Chromis viridis","Chromis","Pomacentridae","Perciformes","Actinopterygii"
"1227","Chrysiptera biocellata","Chrysiptera","Pomacentridae","Perciformes","Actinopterygii"
"1228","Chrysiptera brownriggii","Chrysiptera","Pomacentridae","Perciformes","Actinopterygii"
"1229","Chrysiptera glauca","Chrysiptera","Pomacentridae","Perciformes","Actinopterygii"
"1230","Dascyllus aruanus","Dascyllus","Pomacentridae","Perciformes","Actinopterygii"
"1231","Dascyllus trimaculatus","Dascyllus","Pomacentridae","Perciformes","Actinopterygii"
"1232","Microspathodon chrysurus","Microspathodon","Pomacentridae","Perciformes","Actinopterygii"
"1233","Plectroglyphidodon lacrymatus","Plectroglyphidodon","Pomacentridae","Perciformes","Actinopterygii"
"1234","Plectroglyphidodon leucozonus","Plectroglyphidodon","Pomacentridae","Perciformes","Actinopterygii"
"1235","Pomacentrus amboinensis","Pomacentrus","Pomacentridae","Perciformes","Actinopterygii"
"1236","Pomacentrus pavo","Pomacentrus","Pomacentridae","Perciformes","Actinopterygii"
"1237","Pomacentrus vaiuli","Pomacentrus","Pomacentridae","Perciformes","Actinopterygii"
"1238","Stegastes albifasciatus","Stegastes","Pomacentridae","Perciformes","Actinopterygii"
"1239","Stegastes leucostictus","Stegastes","Pomacentridae","Perciformes","Actinopterygii"
"1240","Stegastes lividus","Stegastes","Pomacentridae","Perciformes","Actinopterygii"
"1241","Stegastes punctatus","Stegastes","Pomacentridae","Perciformes","Actinopterygii"
"1242","Pomatomus saltatrix","Pomatomus","Pomatomidae","Perciformes","Actinopterygii"
"1243","Cookeolus japonicus","Cookeolus","Priacanthidae","Perciformes","Actinopterygii"
"1244","Heteropriacanthus cruentatus","Heteropriacanthus","Priacanthidae","Perciformes","Actinopterygii"
"1245","Priacanthus alalaua","Priacanthus","Priacanthidae","Perciformes","Actinopterygii"
"1246","Priacanthus arenatus","Priacanthus","Priacanthidae","Perciformes","Actinopterygii"
"1247","Priacanthus hamrur","Priacanthus","Priacanthidae","Perciformes","Actinopterygii"
"1248","Priacanthus macracanthus","Priacanthus","Priacanthidae","Perciformes","Actinopterygii"
"1249","Pristigenys alta","Pristigenys","Priacanthidae","Perciformes","Actinopterygii"
"1250","Pristigenys meyeri","Pristigenys","Priacanthidae","Perciformes","Actinopterygii"
"1251","Ilisha africana","Ilisha","Pristigasteridae","Clupeiformes","Actinopterygii"
"1252","Ilisha elongata","Ilisha","Pristigasteridae","Clupeiformes","Actinopterygii"
"1253","Odontognathus mucronatus","Odontognathus","Pristigasteridae","Clupeiformes","Actinopterygii"
"1254","Pellona ditchela","Pellona","Pristigasteridae","Clupeiformes","Actinopterygii"
"1255","Pellona harroweri","Pellona","Pristigasteridae","Clupeiformes","Actinopterygii"
"1256","Psettodes belcheri","Psettodes","Psettodidae","Pleuronectiformes","Actinopterygii"
"1257","Psettodes bennettii","Psettodes","Psettodidae","Pleuronectiformes","Actinopterygii"
"1258","Psettodes erumei","Psettodes","Psettodidae","Pleuronectiformes","Actinopterygii"
"1259","Pseudocarcharias kamoharai","Pseudocarcharias","Pseudocarchariidae","Lamniformes","Elasmobranchii"
"1260","Pseudotriakis microdon","Pseudotriakis","Pseudotriakidae","Carcharhiniformes","Elasmobranchii"
"1261","Psychrolutes marmoratus","Psychrolutes","Psychrolutidae","Scorpaeniformes","Actinopterygii"
"1262","Rachycentron canadum","Rachycentron","Rachycentridae","Perciformes","Actinopterygii"
"1263","Amblyraja georgiana","Amblyraja","Rajidae","Rajiformes","Elasmobranchii"
"1264","Amblyraja hyperborea","Amblyraja","Rajidae","Rajiformes","Elasmobranchii"
"1265","Amblyraja taaf","Amblyraja","Rajidae","Rajiformes","Elasmobranchii"
"1266","Dipturus batis","Dipturus","Rajidae","Rajiformes","Elasmobranchii"
"1267","Dipturus innominatus","Dipturus","Rajidae","Rajiformes","Elasmobranchii"
"1268","Dipturus laevis","Dipturus","Rajidae","Rajiformes","Elasmobranchii"
"1269","Dipturus nidarosiensis","Dipturus","Rajidae","Rajiformes","Elasmobranchii"
"1270","Dipturus oxyrinchus","Dipturus","Rajidae","Rajiformes","Elasmobranchii"
"1271","Leucoraja circularis","Leucoraja","Rajidae","Rajiformes","Elasmobranchii"
"1272","Leucoraja erinacea","Leucoraja","Rajidae","Rajiformes","Elasmobranchii"
"1273","Leucoraja fullonica","Leucoraja","Rajidae","Rajiformes","Elasmobranchii"
"1274","Leucoraja garmani","Leucoraja","Rajidae","Rajiformes","Elasmobranchii"
"1275","Leucoraja naevus","Leucoraja","Rajidae","Rajiformes","Elasmobranchii"
"1276","Leucoraja ocellata","Leucoraja","Rajidae","Rajiformes","Elasmobranchii"
"1277","Malacoraja senta","Malacoraja","Rajidae","Rajiformes","Elasmobranchii"
"1278","Raja asterias","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1279","Raja brachyura","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1280","Raja clavata","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1281","Raja eglanteria","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1282","Raja maderensis","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1283","Raja microocellata","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1284","Raja miraletus","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1285","Raja montagui","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1286","Raja radula","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1287","Raja stellulata","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1288","Raja undulata","Raja","Rajidae","Rajiformes","Elasmobranchii"
"1289","Rajella bigelowi","Rajella","Rajidae","Rajiformes","Elasmobranchii"
"1290","Rajella lintea","Rajella","Rajidae","Rajiformes","Elasmobranchii"
"1291","Rostroraja alba","Rostroraja","Rajidae","Rajiformes","Elasmobranchii"
"1292","Zearaja chilensis","Zearaja","Rajidae","Rajiformes","Elasmobranchii"
"1293","Zearaja nasuta","Zearaja","Rajidae","Rajiformes","Elasmobranchii"
"1294","Regalecus glesne","Regalecus","Regalecidae","Lampriformes","Actinopterygii"
"1295","Rhincodon typus","Rhincodon","Rhincodontidae","Orectolobiformes","Elasmobranchii"
"1296","Rhinobatos cemiculus","Rhinobatos","Rhinobatidae","Rajiformes","Elasmobranchii"
"1297","Rhinobatos holcorhynchus","Rhinobatos","Rhinobatidae","Rajiformes","Elasmobranchii"
"1298","Rhinobatos percellens","Rhinobatos","Rhinobatidae","Rajiformes","Elasmobranchii"
"1299","Rhinobatos planiceps","Rhinobatos","Rhinobatidae","Rajiformes","Elasmobranchii"
"1300","Rhynchobatus australiae","Rhynchobatus","Rhinobatidae","Rajiformes","Elasmobranchii"
"1301","Rhynchobatus djiddensis","Rhynchobatus","Rhinobatidae","Rajiformes","Elasmobranchii"
"1302","Rhinochimaera atlantica","Rhinochimaera","Rhinochimaeridae","Chimaeriformes","Holocephali"
"1303","Salangichthys microdon","Salangichthys","Salangidae","Osmeriformes","Actinopterygii"
"1304","Coregonus albula","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1305","Coregonus autumnalis","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1306","Coregonus laurettae","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1307","Coregonus lavaretus","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1308","Coregonus muksun","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1309","Coregonus nasus","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1310","Coregonus oxyrinchus","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1311","Coregonus pidschian","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1312","Coregonus sardinella","Coregonus","Salmonidae","Salmoniformes","Actinopterygii"
"1313","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii"
"1314","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii"
"1315","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii"
"1316","Oncorhynchus masou masou","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii"
"1317","Oncorhynchus mykiss","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii"
"1318","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii"
"1319","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii"
"1320","Salmo salar","Salmo","Salmonidae","Salmoniformes","Actinopterygii"
"1321","Salmo trutta","Salmo","Salmonidae","Salmoniformes","Actinopterygii"
"1322","Salvelinus alpinus alpinus","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii"
"1323","Salvelinus fontinalis","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii"
"1324","Stenodus leucichthys","Stenodus","Salmonidae","Salmoniformes","Actinopterygii"
"1325","Bolbometopon muricatum","Bolbometopon","Scaridae","Perciformes","Actinopterygii"
"1326","Calotomus carolinus","Calotomus","Scaridae","Perciformes","Actinopterygii"
"1327","Calotomus spinidens","Calotomus","Scaridae","Perciformes","Actinopterygii"
"1328","Cetoscarus bicolor","Cetoscarus","Scaridae","Perciformes","Actinopterygii"
"1329","Chlorurus bowersi","Chlorurus","Scaridae","Perciformes","Actinopterygii"
"1330","Chlorurus frontalis","Chlorurus","Scaridae","Perciformes","Actinopterygii"
"1331","Chlorurus microrhinos","Chlorurus","Scaridae","Perciformes","Actinopterygii"
"1332","Chlorurus sordidus","Chlorurus","Scaridae","Perciformes","Actinopterygii"
"1333","Hipposcarus longiceps","Hipposcarus","Scaridae","Perciformes","Actinopterygii"
"1334","Leptoscarus vaigiensis","Leptoscarus","Scaridae","Perciformes","Actinopterygii"
"1335","Scarus altipinnis","Scarus","Scaridae","Perciformes","Actinopterygii"
"1336","Scarus coeruleus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1337","Scarus dimidiatus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1338","Scarus festivus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1339","Scarus forsteni","Scarus","Scaridae","Perciformes","Actinopterygii"
"1340","Scarus frenatus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1341","Scarus ghobban","Scarus","Scaridae","Perciformes","Actinopterygii"
"1342","Scarus globiceps","Scarus","Scaridae","Perciformes","Actinopterygii"
"1343","Scarus niger","Scarus","Scaridae","Perciformes","Actinopterygii"
"1344","Scarus oviceps","Scarus","Scaridae","Perciformes","Actinopterygii"
"1345","Scarus persicus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1346","Scarus psittacus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1347","Scarus rivulatus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1348","Scarus rubroviolaceus","Scarus","Scaridae","Perciformes","Actinopterygii"
"1349","Scarus schlegeli","Scarus","Scaridae","Perciformes","Actinopterygii"
"1350","Scarus tricolor","Scarus","Scaridae","Perciformes","Actinopterygii"
"1351","Sparisoma aurofrenatum","Sparisoma","Scaridae","Perciformes","Actinopterygii"
"1352","Sparisoma chrysopterum","Sparisoma","Scaridae","Perciformes","Actinopterygii"
"1353","Sparisoma cretense","Sparisoma","Scaridae","Perciformes","Actinopterygii"
"1354","Sparisoma rubripinne","Sparisoma","Scaridae","Perciformes","Actinopterygii"
"1355","Sparisoma viride","Sparisoma","Scaridae","Perciformes","Actinopterygii"
"1356","Scatophagus argus","Scatophagus","Scatophagidae","Perciformes","Actinopterygii"
"1357","Argyrosomus hololepidotus","Argyrosomus","Sciaenidae","Perciformes","Actinopterygii"
"1358","Argyrosomus regius","Argyrosomus","Sciaenidae","Perciformes","Actinopterygii"
"1359","Atractoscion aequidens","Atractoscion","Sciaenidae","Perciformes","Actinopterygii"
"1360","Atractoscion nobilis","Atractoscion","Sciaenidae","Perciformes","Actinopterygii"
"1361","Atrobucca nibe","Atrobucca","Sciaenidae","Perciformes","Actinopterygii"
"1362","Bairdiella chrysoura","Bairdiella","Sciaenidae","Perciformes","Actinopterygii"
"1363","Bairdiella ronchus","Bairdiella","Sciaenidae","Perciformes","Actinopterygii"
"1364","Cilus gilberti","Cilus","Sciaenidae","Perciformes","Actinopterygii"
"1365","Ctenosciaena gracilicirrhus","Ctenosciaena","Sciaenidae","Perciformes","Actinopterygii"
"1366","Cynoscion acoupa","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1367","Cynoscion analis","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1368","Cynoscion arenarius","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1369","Cynoscion guatucupa","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1370","Cynoscion jamaicensis","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1371","Cynoscion leiarchus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1372","Cynoscion nebulosus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1373","Cynoscion nothus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1374","Cynoscion regalis","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1375","Cynoscion reticulatus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1376","Cynoscion steindachneri","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1377","Cynoscion stolzmanni","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
"1378","Cynoscion striatus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii"
