"SBID","CountryCode","SplitYear","SeasonYear","SeasonMonthNr","CalendarMonthNr","ASD","TargetSpeciesCode","GearCode","FishingCode","ShipSize","FishingHours","FishingDays","ShipCount","HookCount","PotCount","HaulCount","FishingOnGrounds","FishingFromPort","FishingTrips","ShipTonnage","ShipHP","ShipLength","Comment","PreparedDate"
3212,"JPN",2002,2002,6,5,"481","KRI","OTM","C",10,223.42,31.00,1,,,321,31.00,,,3086.00,4900.00,,"",10-4-2015 00:00:00
3213,"JPN",2002,2002,7,6,"481","KRI","OTM","C",10,136.25,15.00,1,,,178,16.00,,,3086.00,4900.00,,"",10-4-2015 00:00:00
3214,"JPN",2002,2002,3,2,"482","KRI","OTM","C",10,216.82,34.00,2,,,349,34.00,,,3498.00,4068.00,,"",10-4-2015 00:00:00
3215,"JPN",2002,2002,4,3,"482","KRI","OTM","C",10,209.92,32.00,2,,,375,32.00,,,3498.00,4068.00,,"",10-4-2015 00:00:00
3216,"JPN",2002,2002,5,4,"482","KRI","OTM","C",10,312.00,43.00,2,,,501,43.00,,,3498.00,4068.00,,"",10-4-2015 00:00:00
3217,"POL",2002,2002,2,1,"483","ANI","OTM","C",10,245.66,31.00,1,,,42,,,,,,,"",10-4-2015 00:00:00
3218,"POL",2002,2002,3,2,"483","ANI","OTM","C",10,12.33,2.00,1,,,3,,,,,,,"",10-4-2015 00:00:00
3219,"POL",2002,2002,1,12,"483","ANI","OTM","C",10,138.16,11.00,1,,,23,,,,,,,"",10-4-2015 00:00:00
3220,"POL",2002,2002,4,3,"482","KRI","OTM","C",10,158.00,24.00,1,,,185,31.00,,,,,,"",10-4-2015 00:00:00
3221,"POL",2002,2002,5,4,"482","KRI","OTM","C",10,401.00,45.00,2,,,356,57.00,,,,,,"",10-4-2015 00:00:00
3222,"POL",2002,2002,6,5,"482","KRI","OTM","C",10,527.00,49.00,2,,,426,53.00,,,,,,"",10-4-2015 00:00:00
3223,"POL",2002,2002,7,6,"482","KRI","OTM","C",10,441.00,43.00,2,,,351,49.00,,,,,,"",10-4-2015 00:00:00
3224,"POL",2002,2001,8,7,"481","KRI","OTM","C",10,397.00,18.00,3,,,129,63.00,,,,,,"",10-4-2015 00:00:00
3225,"POL",2002,2001,9,8,"483","KRI","OTM","C",10,195.00,30.00,3,,,224,31.00,,,,,,"",10-4-2015 00:00:00
3226,"POL",2002,2001,12,11,"483","ANI","OTM","C",10,,1.00,1,,,,,,,,,,"",10-4-2015 00:00:00
3227,"JPN",2002,2002,6,5,"482","KRI","OTM","C",10,204.42,28.00,1,,,328,31.00,,,3910.00,3236.00,,"",10-4-2015 00:00:00
3228,"JPN",2002,2002,7,6,"482","KRI","OTM","C",10,148.08,21.00,1,,,221,26.00,,,3910.00,3236.00,,"",10-4-2015 00:00:00
3229,"JPN",2002,2001,8,7,"483","KRI","OTM","C",10,341.42,52.00,2,,,576,53.00,,,3498.00,4068.00,,"",10-4-2015 00:00:00
3230,"JPN",2002,2001,9,8,"483","KRI","OTM","C",10,464.35,54.00,2,,,637,55.00,,,3498.00,4068.00,,"",10-4-2015 00:00:00
3231,"JPN",2002,2001,10,9,"483","KRI","OTM","C",10,284.33,30.00,2,,,346,30.00,,,3498.00,4068.00,,"",10-4-2015 00:00:00
3232,"JPN",2002,2002,7,6,"483","KRI","OTM","C",10,47.33,10.00,1,,,109,10.00,,,3086.00,4900.00,,"",10-4-2015 00:00:00
3233,"UKR",2000,2000,6,5,"483","TOT","LLS","C",8,,31.00,1,434400,,140,31.00,,,704.00,900.00,54,"",10-4-2015 00:00:00
3234,"UKR",2000,2000,7,6,"483","TOT","LLS","C",8,,23.00,1,414000,,129,23.00,,,704.00,900.00,54,"",10-4-2015 00:00:00
3235,"UKR",2000,1999,8,7,"483","KRI","OTM","C",11,103.00,14.00,1,,,,17.00,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3236,"UKR",2000,1999,9,8,"482","KRI","OTM","C",11,,,,,,,,,,,,,"",10-4-2015 00:00:00
3237,"UKR",2001,2000,8,7,"482","TOT","LLS","C",8,,21.00,1,332400,,,21.00,,,704.00,900.00,54,"",10-4-2015 00:00:00
3238,"UKR",2001,2001,6,5,"483","TOT","LLS","C",8,,28.00,1,468000,,127,28.00,,,704.00,900.00,54,"",10-4-2015 00:00:00
3239,"UKR",2001,2001,7,6,"483","TOT","LLS","C",8,,20.00,1,331200,,84,21.00,,,704.00,900.00,54,"",10-4-2015 00:00:00
3244,"UKR",2001,2001,6,5,"481","KRI","OTM","C",10,122.26,12.00,1,,,86,12.00,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3245,"UKR",2001,2001,7,6,"481","KRI","OTM","C",10,266.81,26.00,1,,,159,26.00,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3246,"UKR",2002,2001,8,7,"483","TOT","LLS","C",8,,31.00,1,494400,,129,31.00,,,704.00,900.00,54,"",10-4-2015 00:00:00
3247,"UKR",2002,2001,9,8,"483","TOT","LLS","C",8,,31.00,1,566400,,171,31.00,,,704.00,900.00,54,"",10-4-2015 00:00:00
3248,"UKR",2002,2001,11,10,"482","KRI","OTM","C",10,9.00,2.00,1,,,5,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3249,"UKR",2002,2002,2,1,"482","KRI","OTM","C",10,173.20,14.00,1,,,61,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3250,"UKR",2002,2002,3,2,"482","KRI","OTM","C",10,264.40,25.00,1,,,113,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3251,"UKR",2002,2002,4,3,"482","KRI","OTM","C",10,316.50,17.00,2,,,99,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3252,"UKR",2002,2002,5,4,"482","KRI","OTM","C",10,470.30,27.00,3,,,194,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3253,"UKR",2002,2002,6,5,"482","KRI","OTM","C",10,378.60,27.00,2,,,230,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3254,"UKR",2002,2002,7,6,"482","KRI","OTM","C",10,131.00,16.00,2,,,96,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3255,"UKR",2002,2001,8,7,"483","KRI","OTM","C",10,171.00,25.00,1,,,205,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3256,"UKR",2002,2001,9,8,"483","KRI","OTM","C",10,253.00,25.00,1,,,140,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3257,"UKR",2002,2001,10,9,"483","KRI","OTM","C",10,257.00,25.00,1,,,119,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3258,"UKR",2002,2001,11,10,"483","KRI","OTM","C",10,291.00,21.00,1,,,95,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3259,"UKR",2002,2002,7,6,"483","KRI","OTM","C",10,124.00,26.00,2,,,178,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3260,"URY",2003,2002,8,7,"483","TOT","LLS","C",8,,55.00,2,795,,81,,62.00,2,,,,"",10-4-2015 00:00:00
3261,"URY",2003,2002,9,8,"483","TOT","LLS","C",8,,32.00,2,528,,74,,48.00,,,,,"",10-4-2015 00:00:00
3262,"ZAF",2003,2002,8,7,"483","TOT","LLS","C",8,,29.00,1,553,,54,,,1,,,,"",10-4-2015 00:00:00
3263,"ZAF",2003,2002,9,8,"483","TOT","LLS","C",8,,2.00,1,26,,3,,,1,,,,"",10-4-2015 00:00:00
3264,"ZAF",2003,2002,10,9,"587","TOT","LLS","C",5,,8.00,1,55,,,,,1,,,,"",10-4-2015 00:00:00
3265,"ZAF",2003,2002,11,10,"587","TOT","LLS","C",5,,15.37,2,198,,,,,2,,,,"",10-4-2015 00:00:00
3266,"ZAF",2003,2002,12,11,"587","TOT","LLS","C",5,,20.79,2,293,,,,,2,,,,"",10-4-2015 00:00:00
3267,"ZAF",2003,2002,10,9,"586","TOT","LLS","C",5,,9.00,1,105,,,,,1,,,,"",10-4-2015 00:00:00
3268,"ZAF",2003,2002,11,10,"586","TOT","LLS","C",5,,10.20,2,115,,,,,2,,,,"",10-4-2015 00:00:00
3269,"ZAF",2003,2002,12,11,"586","TOT","LLS","C",5,,3.00,1,31,,,,,1,,,,"",10-4-2015 00:00:00
3270,"JPN",2003,2002,8,7,"483","KRI","OTM","C",,,,2,,,,,,,,,,"",10-4-2015 00:00:00
3271,"JPN",2003,2002,9,8,"483","KRI","OTM","C",,,,2,,,,,,,,,,"",10-4-2015 00:00:00
3272,"JPN",2003,2002,10,9,"483","KRI","OTM","C",,,,1,,,,,,,,,,"",10-4-2015 00:00:00
3273,"JPN",2003,2002,11,10,"483","KRI","OTM","C",,,,1,,,,,,,,,,"",10-4-2015 00:00:00
3274,"AUS",2003,2002,8,7,"5852","TOT","OTB","C",9,1.41,1.00,1,,,5,0.19,0.43,,2203.00,3132.00,87,"",10-4-2015 00:00:00
3275,"AUS",2003,2002,9,8,"5852","TOT","OTB","C",10,370.19,18.00,1,,,104,13.01,29.54,,2154.00,2685.00,85,"",10-4-2015 00:00:00
3276,"AUS",2003,2002,10,9,"5852","TOT","OTB","C",10,123.91,18.81,2,,,133,19.99,45.40,1,2178.50,2908.50,86,"",10-4-2015 00:00:00
3277,"AUS",2003,2002,11,10,"5852","TOT","OTB","C",10,288.78,38.00,2,,,254,51.18,116.21,2,2178.50,2908.50,86,"",10-4-2015 00:00:00
3278,"AUS",2003,2002,12,11,"5852","TOT","OTB","C",10,3.13,3.00,1,,,3,0.22,0.51,,2154.00,2685.00,85,"",10-4-2015 00:00:00
3279,"AUS",2003,2002,11,10,"5852","ANI","OTB","C",10,32.98,7.00,1,,,8,2.00,4.55,,2154.00,2685.00,85,"",10-4-2015 00:00:00
3280,"AUS",2003,2002,12,11,"5852","ANI","OTB","C",10,0.83,1.00,1,,,2,0.13,0.29,,2154.00,2685.00,85,"",10-4-2015 00:00:00
3281,"AUS",2003,2002,11,10,"5852","ANI","OTM","C",10,9.30,3.00,1,,,5,1.47,3.34,,2154.00,2685.00,85,"",10-4-2015 00:00:00
3282,"POL",2003,2002,8,7,"483","KRI","OTM","C",10,441.00,43.00,2,,,362,,46.00,,,,,"",10-4-2015 00:00:00
3283,"POL",2003,2002,9,8,"483","KRI","OTM","C",10,388.00,37.00,2,,,304,,39.00,,,,,"",10-4-2015 00:00:00
3284,"CHL",2003,2002,8,7,"483","TOT","LLS","C",8,,104.00,5,1124180,,208,,,,,,,"",10-4-2015 00:00:00
3285,"CHL",2003,2002,9,8,"483","TOT","LLS","C",8,,20.00,2,628188,,60,,,,,,,"",10-4-2015 00:00:00
3286,"KOR",2003,2002,8,7,"483","TOT","LLS","C",7,,7.00,1,101,,10,,,,330.00,1000.00,,"",10-4-2015 00:00:00
3287,"KOR",2003,2002,8,7,"483","KRI","OTM","C",10,222.00,26.00,1,,,,,,,2999.00,3800.00,,"",10-4-2015 00:00:00
3288,"KOR",2003,2002,9,8,"483","KRI","OTM","C",10,212.00,21.00,1,,,,,,,2999.00,3800.00,,"",10-4-2015 00:00:00
3289,"KOR",2003,2002,10,9,"483","KRI","OTM","C",10,221.00,27.00,1,,,,,,,2999.00,3800.00,,"",10-4-2015 00:00:00
3290,"KOR",2003,2002,11,10,"483","KRI","OTM","C",10,33.00,6.00,1,,,,,,,2999.00,3800.00,,"",10-4-2015 00:00:00
3291,"UKR",2003,2002,8,7,"483","KRI","OTM","C",10,332.33,50.00,2,,,389,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3292,"USA",2003,2002,8,7,"483","KRI","OTM","C",,,30.00,1,,,,,,,,,,"",10-4-2015 00:00:00
3293,"UKR",2003,2002,9,8,"483","KRI","OTM","C",,119.00,29.00,2,,,,,,,,,,"",10-4-2015 00:00:00
3294,"ESP",2003,2002,8,7,"483","TOT","LLS","C",8,,51.00,2,762718,,96,,,,,,,"",10-4-2015 00:00:00
3295,"GBR",2003,2002,8,7,"483","TOT","LLS","C",9,,115.00,4,1663844,,249,,,,,,,"",10-4-2015 00:00:00
3296,"RUS",2003,2002,8,7,"483","TOT","LLS","C",8,,30.00,1,337233,,53,,,,,,,"",10-4-2015 00:00:00
3297,"ESP",2003,2002,9,8,"483","TOT","LLS","C",8,,30.00,2,454860,,44,,,,,,,"",10-4-2015 00:00:00
3298,"GBR",2003,2002,9,8,"483","TOT","LLS","C",9,,47.00,3,732830,,81,,,,,,,"",10-4-2015 00:00:00
3299,"RUS",2003,2002,9,8,"483","TOT","LLS","C",8,,12.00,1,197184,,23,,,,,,,"",10-4-2015 00:00:00
3300,"FRA",2003,2002,8,7,"586","TOT","LLS","C",8,,41.00,3,982548,,91,41.00,58.00,3,,1733.00,54,"",10-4-2015 00:00:00
3301,"FRA",2003,2002,10,9,"586","TOT","LLS","C",8,,22.00,2,446350,,79,28.00,38.00,2,,1800.00,56,"",10-4-2015 00:00:00
3302,"FRA",2003,2002,11,10,"586","TOT","LLS","C",8,,25.00,2,553075,,66,25.00,61.00,2,,1800.00,56,"",10-4-2015 00:00:00
3303,"FRA",2003,2002,12,11,"586","TOT","LLS","C",8,,27.00,1,686700,,61,27.00,30.00,1,,1800.00,56,"",10-4-2015 00:00:00
3304,"FRA",2003,2003,1,12,"586","TOT","LLS","C",8,,55.00,2,1049251,,120,55.00,70.00,3,,1800.00,55,"",10-4-2015 00:00:00
3305,"FRA",2003,2003,2,1,"586","TOT","LLS","C",8,,51.00,3,1030191,,119,52.00,92.00,3,,1800.00,55,"",10-4-2015 00:00:00
3306,"FRA",2003,2003,3,2,"586","TOT","LLS","C",8,,15.00,2,333749,,40,15.00,25.00,3,,1800.00,55,"",10-4-2015 00:00:00
3307,"FRA",2003,2003,4,3,"586","TOT","LLS","C",7,,11.00,1,245300,,36,11.00,31.00,1,,1800.00,56,"",10-4-2015 00:00:00
3308,"FRA",2003,2003,5,4,"586","TOT","LLS","C",8,,46.00,2,918675,,97,46.00,56.00,2,,1800.00,56,"",10-4-2015 00:00:00
3309,"FRA",2003,2003,6,5,"586","TOT","LLS","C",8,,43.00,2,849250,,92,43.00,61.00,2,,1800.00,56,"",10-4-2015 00:00:00
3310,"FRA",2004,2003,8,7,"586","TOT","LLS","C",7,,17.00,1,320950,,43,17.00,31.00,1,1295.00,1800.00,56,"",10-4-2015 00:00:00
3311,"FRA",2003,2002,8,7,"5851","TOT","LLS","C",7,,28.00,1,558500,,75,28.00,31.00,1,,1800.00,56,"",10-4-2015 00:00:00
3312,"FRA",2003,2002,10,9,"5851","TOT","LLS","C",8,,99.00,4,2030970,,239,107.00,115.00,3,,1800.00,55,"",10-4-2015 00:00:00
3313,"FRA",2003,2002,11,10,"5851","TOT","LLS","C",8,,155.00,6,3024159,,370,161.00,170.00,6,,1720.80,55,"",10-4-2015 00:00:00
3314,"FRA",2003,2002,12,11,"5851","TOT","LLS","C",8,,71.00,5,1071075,,147,73.00,98.00,5,,1705.00,56,"",10-4-2015 00:00:00
3315,"FRA",2003,2003,1,12,"5851","TOT","LLS","C",8,,89.00,4,1641138,,200,92.00,102.00,4,,1681.30,56,"",10-4-2015 00:00:00
3316,"FRA",2003,2003,2,1,"5851","TOT","LLS","C",8,,125.00,6,2587307,,271,127.00,163.00,6,,1720.80,56,"",10-4-2015 00:00:00
3317,"FRA",2003,2003,3,2,"5851","TOT","LLS","C",8,,112.00,6,2556808,,268,112.00,127.00,5,,1705.00,56,"",10-4-2015 00:00:00
3318,"FRA",2003,2003,4,3,"5851","TOT","LLS","C",8,,93.00,5,1893098,,193,94.00,118.00,5,,1705.00,55,"",10-4-2015 00:00:00
3319,"FRA",2003,2003,5,4,"5851","TOT","LLS","C",8,,117.00,4,2426562,,289,120.00,121.00,4,,1681.30,55,"",10-4-2015 00:00:00
3320,"FRA",2003,2003,6,5,"5851","TOT","LLS","C",8,,104.00,6,2425154,,268,106.00,146.00,6,,1720.80,55,"",10-4-2015 00:00:00
3321,"FRA",2003,2003,7,6,"5851","TOT","LLS","C",8,,171.00,7,3673349,,422,172.00,184.00,7,,1732.10,55,"",10-4-2015 00:00:00
3322,"FRA",2004,2003,8,7,"5851","TOT","LLS","C",8,,68.00,5,1237778,,171,72.00,107.00,5,1248.00,1705.00,56,"",10-4-2015 00:00:00
3323,"FRA",2004,2003,9,8,"5851","TOT","LLS","C",7,,82.00,3,1377534,,193,84.00,90.00,3,1217.00,1642.00,56,"",10-4-2015 00:00:00
3324,"AUS",1990,1990,6,5,"5852","ANI","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3325,"AUS",1990,1990,7,6,"5852","ANI","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3326,"AUS",1992,1992,2,1,"5852","ANI","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3327,"AUS",1992,1992,3,2,"5852","ANI","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3328,"AUS",2000,2000,3,2,"5852","ANI","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3329,"AUS",1991,1991,3,2,"5842","TOT","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3330,"AUS",2001,2001,3,2,"5842","TOT","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3331,"AUS",1999,1999,5,4,"5843","TOT","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3332,"AUS",1990,1990,6,5,"5852","TOT","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3333,"AUS",1990,1990,7,6,"5852","TOT","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3334,"AUS",1992,1992,2,1,"5852","TOT","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3335,"AUS",1992,1992,3,2,"5852","TOT","OTB","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
3336,"UKR",2003,2003,4,3,"482","KRI","OTM","C",11,53.00,7.00,1,,,111,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3337,"UKR",2003,2003,5,4,"482","KRI","OTM","C",10,242.00,37.00,2,,,518,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3338,"UKR",2003,2003,6,5,"482","KRI","OTM","C",10,71.00,11.00,2,,,140,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3339,"UKR",2003,2003,6,5,"483","KRI","OTM","C",10,54.00,9.00,2,,,110,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3340,"UKR",2003,2003,7,6,"483","KRI","OTM","C",10,252.00,46.00,2,,,524,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3341,"UKR",2004,2003,8,7,"483","KRI","OTM","C",10,51.00,22.00,1,,,177,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3342,"UKR",2004,2003,9,8,"483","KRI","OTM","C",10,55.00,17.00,1,,,115,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3343,"UKR",2004,2003,10,9,"483","KRI","OTM","C",10,50.00,10.00,1,,,68,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3344,"UKR",2003,2003,6,5,"481","KRI","OTM","C",10,65.00,11.00,1,,,70,,,,6392.00,7000.00,114,"",10-4-2015 00:00:00
3345,"KOR",2003,2003,2,1,"483","ANI","OTM","C",10,29.00,12.00,1,,,,2.00,29.00,1,2999.00,3800.00,89,"",10-4-2015 00:00:00
3346,"KOR",2003,2003,1,12,"483","KRI","OTM","C",10,194.00,22.00,1,,,,3.00,28.00,2,2999.00,3800.00,89,"",10-4-2015 00:00:00
3347,"KOR",2003,2003,6,5,"481","KRI","OTM","C",10,261.00,24.00,1,,,,,31.00,2,2999.00,3800.00,89,"",10-4-2015 00:00:00
3348,"KOR",2003,2003,7,6,"481","KRI","OTM","C",10,10.00,1.00,1,,,,1.00,29.00,2,2999.00,3800.00,89,"",10-4-2015 00:00:00
3349,"KOR",2003,2003,1,12,"481","KRI","OTM","C",10,20.00,3.00,1,,,,3.00,28.00,1,2999.00,3800.00,89,"",10-4-2015 00:00:00
3350,"KOR",2003,2003,2,1,"482","KRI","OTM","C",10,84.00,10.00,1,,,,2.00,28.00,1,2999.00,3800.00,89,"",10-4-2015 00:00:00
3351,"KOR",2003,2003,3,2,"482","KRI","OTM","C",10,145.00,13.00,1,,,,7.00,21.00,,2999.00,3800.00,89,"",10-4-2015 00:00:00
3352,"KOR",2003,2003,4,3,"482","KRI","OTM","C",10,96.00,8.00,1,,,,12.00,19.00,,2999.00,3800.00,89,"",10-4-2015 00:00:00
3353,"KOR",2003,2003,5,4,"482","KRI","OTM","C",10,261.00,24.00,1,,,,,30.00,,2999.00,3800.00,89,"",10-4-2015 00:00:00
3354,"KOR",2003,2003,6,5,"482","KRI","OTM","C",10,35.00,5.00,1,,,,,31.00,,2999.00,3800.00,89,"",10-4-2015 00:00:00
3355,"KOR",2004,2003,8,7,"483","KRI","OTM","C",11,333.00,29.00,1,,,,2.00,29.00,1,4462.00,5000.00,106,"",10-4-2015 00:00:00
3356,"KOR",2004,2003,9,8,"483","KRI","OTM","C",11,309.00,26.00,1,,,,5.00,26.00,,4462.00,5000.00,106,"",10-4-2015 00:00:00
3357,"KOR",2004,2003,10,9,"483","KRI","OTM","C",11,300.00,27.00,1,,,,3.00,27.00,1,4462.00,5000.00,106,"",10-4-2015 00:00:00
3358,"KOR",2003,2003,7,6,"483","KRI","OTM","C",10,161.00,21.00,1,,,,1.00,29.00,2,2999.00,3800.00,89,"",10-4-2015 00:00:00
3359,"KOR",2004,2003,8,7,"483","KRI","OTM","C",10,325.00,29.00,1,,,,,31.00,2,2999.00,3800.00,89,"",10-4-2015 00:00:00
3360,"KOR",2004,2003,9,8,"483","KRI","OTM","C",10,291.00,25.00,1,,,,2.00,29.00,,2999.00,3800.00,89,"",10-4-2015 00:00:00
3361,"KOR",2003,2003,6,5,"483","TOT","LLS","C",8,,10.00,1,125000,,15,1.00,30.00,2,381.00,1400.00,46,"",10-4-2015 00:00:00
3362,"KOR",2003,2003,7,6,"483","TOT","LLS","C",8,,29.00,1,353000,,44,1.00,29.00,,381.00,1400.00,46,"",10-4-2015 00:00:00
3363,"KOR",2004,2003,8,7,"483","TOT","LLS","C",8,,31.00,1,382000,,44,,31.00,,381.00,1400.00,46,"",10-4-2015 00:00:00
3364,"KOR",2004,2003,9,8,"483","TOT","LLS","C",8,,30.00,1,379000,,51,1.00,30.00,,381.00,1400.00,46,"",10-4-2015 00:00:00
3365,"POL",2003,2003,7,6,"483","KRI","OTM","C",10,88.00,14.00,1,,,18,25.00,,,,,,"",10-4-2015 00:00:00
3366,"POL",2004,2003,8,7,"483","KRI","OTM","C",10,95.00,17.00,1,,,21,26.00,,,,,,"",10-4-2015 00:00:00
3367,"POL",2004,2003,9,8,"483","KRI","OTM","C",10,113.00,21.00,1,,,20,27.00,,,,,,"",10-4-2015 00:00:00
3368,"POL",2003,2003,4,3,"482","KRI","OTM","C",10,112.00,10.00,1,,,13,14.00,,,,,,"",10-4-2015 00:00:00
3369,"POL",2003,2003,5,4,"481","KRI","OTM","C",10,117.00,2.00,1,,,2,25.00,,,,,,"",10-4-2015 00:00:00
3370,"POL",2003,2003,6,5,"481","KRI","OTM","C",10,185.00,17.00,1,,,25,26.00,,,,,,"",10-4-2015 00:00:00
3371,"RUS",2003,2003,6,5,"483","TOT","LLS","C",8,,21.00,1,489700,,85,28.00,,,,,,"",10-4-2015 00:00:00
3372,"RUS",2003,2003,7,6,"483","TOT","LLS","C",8,,22.00,1,482800,,84,27.00,,,,,,"",10-4-2015 00:00:00
3373,"RUS",2004,2003,8,7,"483","TOT","LLS","C",8,,42.00,2,512700,,98,24.00,,,,,,"",10-4-2015 00:00:00
3374,"RUS",2004,2003,9,8,"483","TOT","LLS","C",8,,26.00,1,652400,,102,31.00,,,,,,"",10-4-2015 00:00:00
3375,"RUS",2003,2003,1,12,"881","TOT","LLS","C",9,,12.00,2,164600,,25,19.00,,,,,,"",10-4-2015 00:00:00
3376,"RUS",2003,2003,2,1,"881","TOT","LLS","C",9,,47.00,2,540000,,75,49.00,,,,,,"",10-4-2015 00:00:00
3377,"RUS",2003,2003,3,2,"881","TOT","LLS","C",9,,35.00,2,628400,,75,48.00,,,,,,"",10-4-2015 00:00:00
3378,"RUS",2003,2003,4,3,"881","TOT","LLS","C",9,,27.00,2,543450,,54,37.00,,,,,,"",10-4-2015 00:00:00
3379,"USA",2003,2003,5,4,"481","KRI","OTM","C",11,,5.00,1,,,23,5.00,,1,4059.00,,101,"",10-4-2015 00:00:00
3380,"USA",2003,2003,6,5,"481","KRI","OTM","C",11,,19.00,1,,,161,19.00,,1,4059.00,,101,"",10-4-2015 00:00:00
3381,"USA",2003,2003,5,4,"482","KRI","OTM","C",11,,26.00,1,,,188,26.00,,1,4059.00,,101,"",10-4-2015 00:00:00
3382,"USA",2004,2003,8,7,"483","KRI","OTM","C",11,,26.00,1,,,135,26.00,,1,4059.00,,101,"",10-4-2015 00:00:00
3383,"USA",2004,2003,9,8,"483","KRI","OTM","C",11,,16.00,1,,,239,16.00,,1,4059.00,,101,"",10-4-2015 00:00:00
3384,"AUS",2003,2003,5,4,"5852","MZZ","TBB","S",10,0.95,0.15,1,,,,0.15,0.22,,2203.00,3132.00,87,"",10-4-2015 00:00:00
3385,"AUS",2003,2003,6,5,"5852","MZZ","TBB","S",10,3.85,0.62,1,,,,0.62,0.90,,2203.00,3132.00,87,"",10-4-2015 00:00:00
3386,"AUS",2003,2003,3,2,"5842","TOT","LLS","C",8,,24.38,1,316200,,71,25.42,42.02,1,751.00,779.00,48,"",10-4-2015 00:00:00
3387,"AUS",2003,2003,4,3,"5842","TOT","LLS","C",8,,22.61,1,293250,,70,23.57,38.97,,751.00,779.00,48,"",10-4-2015 00:00:00
3388,"AUS",2003,2003,6,5,"5852","TOT","LLS","C",9,,21.50,1,281553,,51,22.38,29.84,,1079.00,780.00,46,"",10-4-2015 00:00:00
3389,"AUS",2003,2003,7,6,"5852","TOT","LLS","C",9,,27.49,1,359894,,43,28.61,38.15,1,1079.00,780.00,46,"",10-4-2015 00:00:00
3390,"AUS",2003,2003,4,3,"5852","ANI","OTB","C",10,241.88,29.77,2,,,108,29.77,92.49,2,2178.50,2908.50,87,"",10-4-2015 00:00:00
3391,"AUS",2003,2003,5,4,"5852","ANI","OTB","C",10,296.40,42.29,2,,,160,42.29,67.35,1,2178.50,2908.50,87,"",10-4-2015 00:00:00
3392,"AUS",2003,2003,6,5,"5852","ANI","OTB","C",10,48.30,11.00,2,,,57,7.05,11.11,,2178.50,2908.50,87,"",10-4-2015 00:00:00
3393,"AUS",2003,2003,7,6,"5852","ANI","OTB","C",10,8.75,3.00,2,,,4,1.47,1.96,,2178.50,2908.50,87,"",10-4-2015 00:00:00
3394,"AUS",2004,2003,12,11,"5852","ANI","OTB","C",10,4.58,1.51,2,,,4,1.51,7.46,,2178.50,2908.50,87,"",10-4-2015 00:00:00
3395,"AUS",2003,2003,3,2,"5852","TOT","OTB","C",9,0.65,1.00,2,,,3,0.11,0.49,,2178.50,2908.50,87,"",10-4-2015 00:00:00
3396,"AUS",2003,2003,4,3,"5852","TOT","OTB","C",10,7.88,6.00,2,,,14,1.11,4.01,,2178.50,2908.50,87,"",10-4-2015 00:00:00
3397,"AUS",2003,2003,5,4,"5852","TOT","OTB","C",10,43.01,14.00,2,,,72,6.55,9.96,,2178.50,2908.50,87,"",10-4-2015 00:00:00
3398,"AUS",2003,2003,6,5,"5852","TOT","OTB","C",10,49.90,8.25,2,,,51,8.25,12.62,,2178.50,2908.50,87,"",10-4-2015 00:00:00
3399,"AUS",2003,2003,7,6,"5852","TOT","OTB","C",10,283.46,47.10,2,,,419,47.10,62.04,1,2178.50,2908.50,87,"",10-4-2015 00:00:00
