"Taxonid","EEZID","stocklong","notes","FAOAreaID","id"
600143,704,"Yellowfin tuna Central Western Pacific","",71,"704_600143"
600143,772,"Yellowfin tuna Central Western Pacific","",71,"772_600143"
600143,772,"Yellowfin tuna Central Western Pacific","",77,"772_600143"
600143,776,"Yellowfin tuna Central Western Pacific","",71,"776_600143"
600143,776,"Yellowfin tuna Central Western Pacific","",77,"776_600143"
600143,776,"Yellowfin tuna Central Western Pacific","",81,"776_600143"
600143,846,"Yellowfin tuna Central Western Pacific","",71,"846_600143"
600143,846,"Yellowfin tuna Central Western Pacific","",77,"846_600143"
600143,872,"Yellowfin tuna Central Western Pacific","",61,"872_600143"
600143,872,"Yellowfin tuna Central Western Pacific","",71,"872_600143"
600143,876,"Yellowfin tuna Central Western Pacific","",71,"876_600143"
600143,876,"Yellowfin tuna Central Western Pacific","",77,"876_600143"
600143,943,"Yellowfin tuna Central Western Pacific","",71,"943_600143"
600143,943,"Yellowfin tuna Central Western Pacific","",77,"943_600143"
600143,258,"Yellowfin tuna Eastern Pacific","",77,"258_600143"
600143,258,"Yellowfin tuna Eastern Pacific","",81,"258_600143"
600143,612,"Yellowfin tuna Eastern Pacific","",77,"612_600143"
600143,612,"Yellowfin tuna Eastern Pacific","",81,"612_600143"
600143,930,"Yellowfin tuna Eastern Pacific","",77,"930_600143"
600143,930,"Yellowfin tuna Eastern Pacific","",87,"930_600143"
600143,356,"Yellowfin tuna Indian Ocean","",51,"356_600143"
600143,356,"Yellowfin tuna Indian Ocean","",57,"356_600143"
600143,361,"Yellowfin tuna Indian Ocean","",57,"361_600143"
600143,361,"Yellowfin tuna Indian Ocean","",71,"361_600143"
600143,462,"Yellowfin tuna Indian Ocean","",51,"462_600143"
600143,462,"Yellowfin tuna Indian Ocean","",57,"462_600143"
600143,895,"Yellowfin tuna Indian Ocean","",51,"895_600143"
600143,895,"Yellowfin tuna Indian Ocean","",57,"895_600143"
600143,954,"Yellowfin tuna Indian Ocean","",47,"954_600143"
600143,954,"Yellowfin tuna Indian Ocean","",51,"954_600143"
600145,36,"Southern bluefin tuna Southern Oceans","",57,"36_600145"
600145,36,"Southern bluefin tuna Southern Oceans","",71,"36_600145"
600145,36,"Southern bluefin tuna Southern Oceans","",81,"36_600145"
600145,711,"Southern bluefin tuna Southern Oceans","",51,"711_600145"
600145,711,"Southern bluefin tuna Southern Oceans","",58,"711_600145"
600145,895,"Southern bluefin tuna Southern Oceans","",51,"895_600145"
600145,895,"Southern bluefin tuna Southern Oceans","",57,"895_600145"
600145,896,"Southern bluefin tuna Southern Oceans","",51,"896_600145"
600145,896,"Southern bluefin tuna Southern Oceans","",58,"896_600145"
600145,954,"Southern bluefin tuna Southern Oceans","",47,"954_600145"
600145,954,"Southern bluefin tuna Southern Oceans","",51,"954_600145"
600146,24,"Bigeye tuna Atlantic","",34,"24_600146"
600146,24,"Bigeye tuna Atlantic","",47,"24_600146"
600146,60,"Bigeye tuna Atlantic","",21,"60_600146"
600146,60,"Bigeye tuna Atlantic","",31,"60_600146"
600146,76,"Bigeye tuna Atlantic","",31,"76_600146"
600146,76,"Bigeye tuna Atlantic","",41,"76_600146"
600146,178,"Bigeye tuna Atlantic","",34,"178_600146"
600146,178,"Bigeye tuna Atlantic","",47,"178_600146"
600146,180,"Bigeye tuna Atlantic","",34,"180_600146"
600146,180,"Bigeye tuna Atlantic","",47,"180_600146"
600146,254,"Bigeye tuna Atlantic","",31,"254_600146"
600146,254,"Bigeye tuna Atlantic","",41,"254_600146"
600146,266,"Bigeye tuna Atlantic","",34,"266_600146"
600146,266,"Bigeye tuna Atlantic","",47,"266_600146"
600146,620,"Bigeye tuna Atlantic","",27,"620_600146"
600146,620,"Bigeye tuna Atlantic","",34,"620_600146"
600146,621,"Bigeye tuna Atlantic","",27,"621_600146"
600146,621,"Bigeye tuna Atlantic","",34,"621_600146"
600146,622,"Bigeye tuna Atlantic","",27,"622_600146"
600146,622,"Bigeye tuna Atlantic","",34,"622_600146"
600146,851,"Bigeye tuna Atlantic","",21,"851_600146"
600146,851,"Bigeye tuna Atlantic","",31,"851_600146"
600146,855,"Bigeye tuna Atlantic","",34,"855_600146"
600146,855,"Bigeye tuna Atlantic","",47,"855_600146"
600146,962,"Bigeye tuna Atlantic","",27,"962_600146"
600146,962,"Bigeye tuna Atlantic","",34,"962_600146"
600146,970,"Bigeye tuna Atlantic","",34,"970_600146"
600146,970,"Bigeye tuna Atlantic","",41,"970_600146"
600146,36,"Bigeye tuna Central Western Pacific","",57,"36_600146"
600146,36,"Bigeye tuna Central Western Pacific","",71,"36_600146"
600146,36,"Bigeye tuna Central Western Pacific","",81,"36_600146"
600146,157,"Bigeye tuna Central Western Pacific","",61,"157_600146"
600146,157,"Bigeye tuna Central Western Pacific","",71,"157_600146"
600146,361,"Bigeye tuna Central Western Pacific","",57,"361_600146"
