iucn_sid,presence,origin,distribution_code,rgn_id,rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat_code
19488,Extant,Native,Native,42,Madagascar,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,11,Marshall Islands,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,205,Myanmar,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,64,Mauritania,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,121,Montserrat,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,39,Maldives,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,135,Mexico,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,206,Malaysia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,41,Mozambique,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,101,Namibia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,5,New Caledonia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,196,Nigeria,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,131,Nicaragua,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,10,Nauru,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,154,Niue,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Vagrant,Vagrant,162,New Zealand,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,48,Oman,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,129,Panama,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,138,Peru,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,147,French Polynesia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,17,Papua New Guinea,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,15,Philippines,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,53,Pakistan,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,146,Pitcairn,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,116,Puerto Rico and Virgin Islands of the United States,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,183,Portugal,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,190,Qatar,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,50,Saudi Arabia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,7,Solomon Islands,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,49,Sudan,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,85,Ascension,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,86,Saint Helena,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,88,Tristan da Cunha,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,96,Sierra Leone,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,66,Senegal,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,44,Somalia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,168,Suriname,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,103,Sao Tome and Principe,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,134,El Salvador,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,220,Sint Maarten,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,111,Turks and Caicos Islands,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,98,Togo,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,25,Thailand,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,156,Tokelau,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,155,Tonga,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,19,Tuvalu,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,14,Taiwan,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,202,Tanzania,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,163,United States,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,173,Uruguay,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,127,Saint Vincent and the Grenadines,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,139,Venezuela,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,117,British Virgin Islands,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,207,Vietnam,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,6,Vanuatu,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,161,Wallis and Futuna,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
