iucn_sid,years,cats,stati,pop_trend_desc,calc_trend,pop_trend
135672,"2008, 2011","VU, VU","0.4667, 0.4667",decreasing,NA,-1
135690,"2008, 2014","LC, LC","1, 1",increasing,NA,1
135717,"2008, 2010","LC, LC","1, 1",decreasing,NA,-1
135719,"2008, 2013","LC, LC","1, 1",unknown,NA,NA
153534,"2010, 2016","LC, LC","1, 1",decreasing,NA,-1
154644,"2010, 2014","LC, LC","1, 1",unknown,NA,NA
154669,"2010, 2015","LC, LC","1, 1",unknown,NA,NA
154676,"2010, 2012","LC, LC","1, 1",stable,NA,0
154677,"2010, 2012","LC, LC","1, 1",stable,NA,0
154706,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
154712,"2010, 2011","LC, LC","1, 1",stable,NA,0
154731,"2010, 2013","LC, LC","1, 1",stable,NA,0
154780,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
154825,"2010, 2011","LC, LC","1, 1",unknown,NA,NA
154855,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
154863,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
154880,"2010, 2014","LC, LC","1, 1",unknown,NA,NA
154938,"2010, 2016","LC, LC","1, 1",unknown,NA,NA
154946,"2010, 2011","LC, LC","1, 1",unknown,NA,NA
154960,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
154971,"2010, 2012","LC, LC","1, 1",stable,NA,0
154976,"2010, 2012","LC, LC","1, 1",stable,NA,0
155018,"2010, 2015","NT, VU","0.7333, 0.4667",decreasing,NA,-1
155021,"2010, 2015","LC, VU","1, 0.4667",unknown,NA,NA
155096,"2010, 2011","LC, LC","1, 1",stable,NA,0
155120,"2010, 2012","LC, LC","1, 1",decreasing,NA,-1
155165,"2010, 2016","LC, LC","1, 1",decreasing,NA,-1
155180,"2010, 2014","LC, LC","1, 1",unknown,NA,NA
155201,"2010, 2012","LC, LC","1, 1",stable,NA,0
155212,"2010, 2016","LC, LC","1, 1",decreasing,NA,-1
155214,"2010, 2014","LC, LC","1, 1",stable,NA,0
155226,"2010, 2014","LC, LC","1, 1",unknown,NA,NA
155235,"2010, 2015","LC, LC","1, 1",unknown,NA,NA
155273,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
155276,"2010, 2011","LC, LC","1, 1",stable,NA,0
155282,"2010, 2014","LC, LC","1, 1",stable,NA,0
155290,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
155292,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
161334,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161337,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161339,"2015, 2016","EN, EN","0.2, 0.2",decreasing,NA,-1
161342,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161346,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161350,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161370,"2009, 2015","NT, LC","0.7333, 1",stable,NA,0
161373,"2009, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
161375,"2009, 2015","LC, LC","1, 1",stable,NA,0
161381,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161385,"2009, 2016","NT, LC","0.7333, 1",decreasing,NA,-1
161386,"2009, 2016","LC, LC","1, 1",unknown,NA,NA
161402,"2009, 2016","LC, LC","1, 1",increasing,NA,1
161430,"2009, 2015","LC, LC","1, 1",stable,NA,0
161431,"2009, 2016","NT, VU","0.7333, 0.4667",decreasing,NA,-1
161452,"2009, 2016","LC, LC","1, 1",unknown,NA,NA
161461,"2009, 2015","NT, VU","0.7333, 0.4667",decreasing,NA,-1
161464,"2009, 2015","VU, EN","0.4667, 0.2",decreasing,NA,-1
161471,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161486,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161489,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161495,"2009, 2016","EN, EN","0.2, 0.2",decreasing,NA,-1
161505,"2009, 2012, 2015, 2016","LC, LC, LC, LC","1, 1, 1, 1",unknown,0,NA
161526,"2009, 2016","NT, VU","0.7333, 0.4667",decreasing,NA,-1
161535,"2009, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
161539,"2009, 2016","LC, LC","1, 1",unknown,NA,NA
161540,"2009, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
161546,"2009, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
161547,"2004, 2009","VU, VU","0.4667, 0.4667",decreasing,NA,-1
161553,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161566,"2009, 2016","VU, VU","0.4667, 0.4667",unknown,NA,NA
161579,"2009, 2016","NT, NT","0.7333, 0.7333",decreasing,NA,-1
161596,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161598,"2009, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
161600,"2009, 2015","LC, LC","1, 1",stable,NA,0
161615,"2009, 2016","LC, VU","1, 0.4667",decreasing,NA,-1
161618,"2009, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
161621,"2009, 2012","VU, VU","0.4667, 0.4667",decreasing,NA,-1
161626,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161628,"2009, 2015","LC, LC","1, 1",increasing,NA,1
161629,"2009, 2016","LC, LC","1, 1",unknown,NA,NA
161640,"2009, 2016","LC, LC","1, 1",unknown,NA,NA
161648,"2009, 2016","LC, LC","1, 1",unknown,NA,NA
161655,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161661,"2009, 2015","LC, LC","1, 1",stable,NA,0
161673,"2009, 2015","NT, LC","0.7333, 1",unknown,NA,NA
161674,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161683,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161692,"2009, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
161700,"2009, 2015","LC, LC","1, 1",unknown,NA,NA
161705,"2009, 2015","LC, LC","1, 1",stable,NA,0
161709,"2009, 2015","NT, LC","0.7333, 1",stable,NA,0
161719,"2007, 2009","EN, EN","0.2, 0.2",unknown,NA,NA
161729,"2009, 2015","NT, NT","0.7333, 0.7333",decreasing,NA,-1
161743,"2009, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
161744,"2009, 2016","LC, VU","1, 0.4667",decreasing,NA,-1
166077,"2010, 2012","LC, LC","1, 1",stable,NA,0
166533,"2012, 2016","LC, LC","1, 1",unknown,NA,NA
166894,"2010, 2014","LC, NT","1, 0.7333",unknown,NA,NA
169505,"2009, 2012","VU, LC","0.4667, 1",unknown,NA,NA
169529,"2009, 2012","VU, LC","0.4667, 1",unknown,NA,NA
169599,"2009, 2014","LC, LC","1, 1",stable,NA,0
169695,"2010, 2011","LC, LC","1, 1",unknown,NA,NA
169967,"2011, 2015","LC, LC","1, 1",stable,NA,0
170341,"2011, 2014","LC, VU","1, 0.4667",decreasing,NA,-1
172359,"2011, 2012","LC, LC","1, 1",unknown,NA,NA
172363,"2012, 2016","LC, LC","1, 1",unknown,NA,NA
172393,"2011, 2012","LC, LC","1, 1",unknown,NA,NA
172404,"2011, 2012","LC, LC","1, 1",stable,NA,0
172450,"2011, 2012","LC, LC","1, 1",unknown,NA,NA
174100,"2010, 2015","LC, LC","1, 1",unknown,NA,NA
174480,"2010, 2015","LC, LC","1, 1",stable,NA,0
176676,"2010, 2016","LC, LC","1, 1",unknown,NA,NA
176718,"2010, 2012","LC, LC","1, 1",stable,NA,0
178201,"2010, 2016","LC, LC","1, 1",unknown,NA,NA
178223,"2010, 2016","NT, LC","0.7333, 1",unknown,NA,NA
178301,"2010, 2016","LC, LC","1, 1",stable,NA,0
178323,"2010, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
178326,"2010, 2011","VU, VU","0.4667, 0.4667",unknown,NA,NA
178398,"2010, 2016","LC, LC","1, 1",unknown,NA,NA
178423,"2010, 2011","VU, CR","0.4667, -0.0667",unknown,NA,NA
178452,"2010, 2013","LC, LC","1, 1",stable,NA,0
178586,"2010, 2016","LC, LC","1, 1",unknown,NA,NA
178851,"2010, 2015","LC, LC","1, 1",decreasing,NA,-1
183308,"2010, 2014","LC, LC","1, 1",stable,NA,0
183310,"2010, 2012","LC, LC","1, 1",stable,NA,0
183317,"2010, 2016","LC, LC","1, 1",unknown,NA,NA
183326,"2010, 2015","NT, NT","0.7333, 0.7333",unknown,NA,NA
183468,"2010, 2012","LC, LC","1, 1",stable,NA,0
183646,"2010, 2012","LC, LC","1, 1",stable,NA,0
183703,"2010, 2015","VU, VU","0.4667, 0.4667",stable,NA,0
183739,"2010, 2015","VU, VU","0.4667, 0.4667",unknown,NA,NA
183743,"2010, 2016","LC, LC","1, 1",unknown,NA,NA
183813,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
183839,"2010, 2012","LC, LC","1, 1",stable,NA,0
183961,"2010, 2015","NT, NT","0.7333, 0.7333",unknown,NA,NA
184088,"2010, 2013","LC, LC","1, 1",stable,NA,0
184099,"2010, 2013","LC, LC","1, 1",unknown,NA,NA
187435,"2010, 2015","CR, EN","-0.0667, 0.2",unknown,NA,NA
187455,"2010, 2015","LC, LC","1, 1",unknown,NA,NA
187492,"2010, 2014","LC, LC","1, 1",stable,NA,0
187573,"2010, 2014","LC, LC","1, 1",stable,NA,0
187595,"2010, 2015","LC, LC","1, 1",unknown,NA,NA
187678,"2010, 2014","LC, LC","1, 1",stable,NA,0
187714,"2010, 2015","LC, LC","1, 1",stable,NA,0
187756,"2010, 2014","LC, LC","1, 1",stable,NA,0
187775,"2010, 2014","LC, LC","1, 1",stable,NA,0
187790,"2010, 2015","NT, LC","0.7333, 1",unknown,NA,NA
187803,"2010, 2015","LC, LC","1, 1",unknown,NA,NA
190674,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190675,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190676,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190677,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190678,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190679,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190680,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190681,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190682,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190683,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190685,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190686,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190687,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190688,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190689,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190690,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190691,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190692,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190693,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190694,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190695,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190697,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190698,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190699,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190700,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190701,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190702,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190703,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190704,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190705,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190706,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190707,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190708,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190709,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190710,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190711,"2010, 2012","NT, NT","0.7333, 0.7333",unknown,NA,NA
190712,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190713,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190714,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190715,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190717,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190718,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190719,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190721,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190722,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190723,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190725,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190726,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190727,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190728,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190729,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190730,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190731,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190732,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190733,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190734,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190736,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190737,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190738,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190739,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190740,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190741,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190742,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190744,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190745,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190746,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190747,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190748,"2010, 2012","EN, EN","0.2, 0.2",decreasing,NA,-1
190749,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190750,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190753,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190754,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190755,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190756,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190757,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190758,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190759,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190761,"2010, 2012","NT, NT","0.7333, 0.7333",unknown,NA,NA
190762,"2010, 2012","LC, LC","1, 1",stable,NA,0
190763,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190765,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190766,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190767,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190768,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190769,"2010, 2012","LC, LC","1, 1",unknown,NA,NA
190770,"2010, 2012","LC, LC","1, 1",stable,NA,0
194815,"2011, 2014","LC, LC","1, 1",stable,NA,0
194818,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
194819,"2011, 2014","LC, LC","1, 1",NA,NA,NA
194838,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
194844,"2011, 2014","LC, LC","1, 1",stable,NA,0
194854,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
194855,"2011, 2014","LC, LC","1, 1",stable,NA,0
194856,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
194857,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
194862,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
194874,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
194877,"2011, 2014","LC, LC","1, 1",stable,NA,0
194884,"2011, 2014","LC, LC","1, 1",stable,NA,0
194887,"2011, 2014","LC, LC","1, 1",stable,NA,0
194893,"2011, 2014","LC, LC","1, 1",stable,NA,0
194896,"2011, 2014","LC, LC","1, 1",stable,NA,0
194902,"2011, 2014","LC, LC","1, 1",unknown,NA,NA
195319,"2015, 2016","LC, LC","1, 1",unknown,NA,NA
195320,"2011, 2016","EN, EN","0.2, 0.2",decreasing,NA,-1
195422,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195427,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195429,"2011, 2015","LC, LC","1, 1",stable,NA,0
195430,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195444,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195445,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195448,"2012, 2015","LC, LC","1, 1",stable,NA,0
195451,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195453,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195455,"2011, 2015, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
195456,"2012, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
195458,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195460,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195462,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195464,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195465,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195468,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195469,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195470,"2012, 2015","LC, LC","1, 1",unknown,NA,NA
195472,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
195473,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
198764,"2014, 2015","LC, LC","1, 1",unknown,NA,NA
198920,"2011, 2012","VU, VU","0.4667, 0.4667",decreasing,NA,-1
202053,"2011, 2015","LC, LC","1, 1",unknown,NA,NA
202632,"2013, 2015","LC, NT","1, 0.7333",decreasing,NA,-1
15522042,"2015, 2016","LC, LC","1, 1",stable,NA,0
18258202,"2014, 2015","LC, LC","1, 1",unknown,NA,NA
22678576,"1994, 1996, 2000, 2002, 2004, 2007, 2008, 2012, 2013, 2016","VU, VU, VU, EN, EN, EN, EN, EN, EN, EN","0.4667, 0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01412,-1
22678588,"1994, 2000, 2004, 2008, 2009, 2012, 2016","NT, LC, LC, LC, LC, LC, LC","0.7333, 1, 1, 1, 1, 1, 1",decreasing,0.00973,-1
22678611,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22678620,"1994, 1996, 2000, 2004, 2008, 2012, 2016","VU, VU, EN, EN, EN, EN, EN","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01228,-1
22678625,"1994, 1996, 2000, 2004, 2008, 2012, 2016","EN, EN, CR, EN, EN, EN, EN","0.2, 0.2, -0.0667, 0.2, 0.2, 0.2, 0.2",decreasing,0.00283,-1
22678632,"1994, 1996, 2000, 2004, 2008, 2012, 2016","VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0,-1
22679770,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2013, 2016","VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",increasing,0,1
22679814,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2016","VU, VU, EN, EN, EN, EN, EN, EN","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01248,-1
22679830,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22679836,"1994, 1996, 2000, 2004, 2008, 2009, 2012, 2016","VU, VU, LC, LC, LC, LC, LC, LC","0.4667, 0.4667, 1, 1, 1, 1, 1, 1",stable,0.02491,0
22679839,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22679843,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22679846,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22679859,"1994, 2000, 2004, 2008, 2009, 2012, 2016","NT, LC, LC, LC, LC, LC, LC","0.7333, 1, 1, 1, 1, 1, 1",increasing,0.00973,1
22679869,"1994, 1996, 2000, 2004, 2006, 2008, 2012, 2014, 2016","VU, VU, EN, EN, EN, VU, VU, VU, VU","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,0.00366,-1
22679872,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",increasing,-0,1
22679881,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1, 1",unknown,-0,NA
22679896,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22679919,"1994, 2000, 2004, 2006, 2008, 2012, 2016","LC, NT, NT, NT, NT, NT, NT","1, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.00966,-1
22679943,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22679946,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",unknown,0,NA
22679954,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2012, 2015, 2016","VU, VU, VU, VU, VU, EN, EN, EN, VU, VU","0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.2, 0.2, 0.2, 0.4667, 0.4667",decreasing,-0.00506,-1
22679958,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22679978,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680011,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680015,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680021,"1994, 1996, 2000, 2004, 2008, 2009, 2012, 2016","CR, CR, CR, CR, CR, CR, CR, CR","-0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667",unknown,0,NA
22680024,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680029,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680033,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680038,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2016","NT, NT, NT, NT, NT, NT, VU, VU","0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333, 0.4667, 0.4667",decreasing,-0.01217,-1
22680047,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680052,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680086,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680130,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680145,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680153,"1994, 2000, 2004, 2006, 2008, 2012, 2015, 2016","LC, LC, LC, NT, NT, NT, NT, NT","1, 1, 1, 0.7333, 0.7333, 0.7333, 0.7333, 0.7333",decreasing,-0.01513,-1
22680157,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680163,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680170,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680174,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680178,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680199,"1994, 1996, 2000, 2004, 2008, 2011, 2012, 2013, 2016","VU, VU, EN, EN, EN, EN, EN, EN, EN","0.4667, 0.4667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,-0.01178,-1
22680203,"1994, 1996, 2000, 2004, 2006, 2008, 2009, 2010, 2012, 2013, 2015, 2016","VU, VU, VU, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.4667, 0.4667, 0.4667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667, -0.0667",increasing,-0.02883,1
22680214,"1994, 2000, 2004, 2006, 2008, 2012, 2016","NT, VU, VU, VU, VU, VU, VU","0.7333, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667, 0.4667",decreasing,-0.00966,-1
22680221,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680229,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
22680236,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",increasing,0,1
22680240,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680243,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",stable,0,0
22680247,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","1, 1, 1, 1, 1, 1, 1",decreasing,0,-1
