"sciname","class","order","family","genus","species","authority","sid","modified.year","category","criteria","habitat"
"Meletta libertatis","ACTINOPTERYGII","CLUPEIFORMES","CLUPEIDAE","Meletta","libertatis","(Günther, 1867)",183662,2010,"LC","","Marine"
"Meletta senegalensis","ACTINOPTERYGII","CLUPEIFORMES","CLUPEIDAE","Meletta","senegalensis","(Bowdich, 1825)",182611,2010,"LC","","Marine"
"Meletta venosa","ACTINOPTERYGII","CLUPEIFORMES","CLUPEIDAE","Meletta","venosa","(Wilson, 1811)",201948,2013,"LC","","Marine"
"Melletes papilio","ACTINOPTERYGII","SCORPAENIFORMES","COTTIDAE","Melletes","papilio","Bean, 1880",154722,2010,"LC","","Marine"
"Melletes papilio","ACTINOPTERYGII","SCORPAENIFORMES","COTTIDAE","Melletes","papilio","Bean, 1880",154722,2010,"LC","","Marine"
"Melodichthys hadrocephalus","ACTINOPTERYGII","OPHIDIIFORMES","BYTHITIDAE","Melodichthys","hadrocephalus","Nielsen &amp; Cohen 1986",18138812,2014,"DD","","Marine"
"Melosidula granosula","GASTROPODA","EUPULMONATA","ELLOBIIDAE","Melosidula","granosula","(H. &amp; A. Adams, 1854)",189378,2011,"LC","","Marine"
"Melospiza melodia","AVES","PASSERIFORMES","EMBERIZIDAE","Melospiza","melodia","(Wilson, 1810)",22721058,2012,"LC","","Marine"
"Membras gilberti","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Membras","gilberti","(Jordan &amp; Bollman, 1890)",183772,2010,"LC","","Marine"
"Membras martinica","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Membras","martinica","(Valenciennes, 1835)",154767,2010,"LC","","Marine"
"Menidia  audens","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia ","audens","(Cope, 1867)",191191,2013,"LC","","Marine"
"Menidia beryllina","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia","beryllina","(Cope, 1867)",191191,2013,"LC","","Marine"
"Menidia   beryllina cerea","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia  ","beryllina cerea","(Cope, 1867)",191191,2013,"LC","","Marine"
"Menidia clara","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia","clara","(Jenkins &amp; Evermann, 1889)",183267,2010,"NT","","Marine"
"Menidia gilberti","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia","gilberti","(Jordan &amp; Bollman, 1890)",183772,2010,"LC","","Marine"
"Menidia peninsulae","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia","peninsulae","(Goode &amp; Bean, 1879)",155207,2010,"LC","","Marine"
"Menidia starksi","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia","starksi","(Meek &amp; Hildebrand, 1923)",183568,2010,"LC","","Marine"
"Menidia uruguayensis","ACTINOPTERYGII","ATHERINIFORMES","ATHERINOPSIDAE","Menidia","uruguayensis","(Jenyns, 1841)",155119,2010,"LC","","Marine"
"Menticirrhus agassizi","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","agassizi","(Steindachner, 1877)",183578,2010,"LC","","Marine"
"Menticirrhus cokeri","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","cokeri","(Jenyns, 1840)",183869,2010,"LC","","Marine"
"Menticirrhus elongatus","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","elongatus","(Günther, 1864)",183648,2010,"LC","","Marine"
"Menticirrhus nasus","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","nasus","(Günther, 1868)",183669,2010,"LC","","Marine"
"Menticirrhus ophicephalus","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","ophicephalus","(Jenyns, 1840)",183869,2010,"LC","","Marine"
"Menticirrhus paitensis","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","paitensis","Hildebrand, 1946",183989,2010,"LC","","Marine"
"Menticirrhus panamensis","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","panamensis","(Steindachner, 1877)",183578,2010,"LC","","Marine"
"Menticirrhus rostratus","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","rostratus","(Günther, 1864)",183648,2010,"LC","","Marine"
"Menticirrhus simus","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","simus","(Günther, 1868)",183669,2010,"LC","","Marine"
"Menticirrhus undulatus","ACTINOPTERYGII","PERCIFORMES","SCIAENIDAE","Menticirrhus","undulatus","(Girard, 1854)",183602,2010,"DD","","Marine"
"Mercuria baudoniana","GASTROPODA","LITTORINIMORPHA","HYDROBIIDAE","Mercuria","baudoniana","(Gassies, 1859)",155562,2013,"DD","","Marine"
"Merelina solida","GASTROPODA","LITTORINIMORPHA","IRAVADIIDAE","Merelina","solida","(Melvill, 1893)",189103,2011,"LC","","Marine"
"Merelina sucina","GASTROPODA","LITTORINIMORPHA","IRAVADIIDAE","Merelina","sucina","(Melvill, 1893)",189103,2011,"LC","","Marine"
"Mergellus albellus","AVES","ANSERIFORMES","ANATIDAE","Mergellus","albellus","(Linnaeus, 1758)",22680465,2012,"LC","","Marine"
"Mergus albellus albellus","AVES","ANSERIFORMES","ANATIDAE","Mergus albellus","albellus","(Linnaeus, 1758)",22680465,2012,"LC","","Marine"
"Mergus australis","AVES","ANSERIFORMES","ANATIDAE","Mergus","australis","Hombron & Jacquinot, 1841",22680496,2012,"EX","","Marine"
"Mergus cucullatus cucullatus","AVES","ANSERIFORMES","ANATIDAE","Mergus cucullatus","cucullatus","(Linnaeus, 1758)",22680472,2012,"LC","","Marine"
"Mergus merganser","AVES","ANSERIFORMES","ANATIDAE","Mergus","merganser","Linnaeus, 1758",22680492,2012,"LC","","Marine"
"Mergus serrator","AVES","ANSERIFORMES","ANATIDAE","Mergus","serrator","Linnaeus, 1758",22680485,2012,"LC","","Marine"
"Merinthichthys sanchezi","ACTINOPTERYGII","ANGUILLIFORMES","MORINGUIDAE","Merinthichthys","sanchezi","(Jordan &amp; Bollman, 1889)",155131,2010,"LC","","Marine"
"Merlangius merlangius","ACTINOPTERYGII","GADIFORMES","GADIDAE","Merlangius","merlangius","(Linnaeus, 1758)",198585,2014,"LC","","Marine"
"Merlangius merlangus","ACTINOPTERYGII","GADIFORMES","GADIDAE","Merlangius","merlangus","(Linnaeus, 1758)",198585,2014,"LC","","Marine"
"Merlangus linnei","ACTINOPTERYGII","GADIFORMES","GADIDAE","Merlangus","linnei","(Linnaeus, 1758)",198585,2014,"LC","","Marine"
"Merlangus merlangus","ACTINOPTERYGII","GADIFORMES","GADIDAE","Merlangus","merlangus","(Linnaeus, 1758)",198585,2014,"LC","","Marine"
"Merlangus productus","ACTINOPTERYGII","GADIFORMES","MERLUCCIIDAE","Merlangus","productus","(Ayres, 1855)",183411,2010,"LC","","Marine"
"Merlangus vulgaris","ACTINOPTERYGII","GADIFORMES","GADIDAE","Merlangus","vulgaris","(Linnaeus, 1758)",198585,2014,"LC","","Marine"
"Merluccius angusticeps","ACTINOPTERYGII","GADIFORMES","MERLUCCIIDAE","Merluccius","angusticeps","Garman, 1899",183799,2010,"LC","","Marine"
"Merluccius angustimanus","ACTINOPTERYGII","GADIFORMES","MERLUCCIIDAE","Merluccius","angustimanus","Garman, 1899",183799,2010,"LC","","Marine"
"Merluccius gayi","ACTINOPTERYGII","GADIFORMES","MERLUCCIIDAE","Merluccius","gayi","(Guichenot, 1848)",183527,2010,"DD","","Marine"
"Merluccius hernandezi","ACTINOPTERYGII","GADIFORMES","MERLUCCIIDAE","Merluccius","hernandezi","Mathews, 1985",155045,2010,"DD","","Marine"
"Merluccius productus","ACTINOPTERYGII","GADIFORMES","MERLUCCIIDAE","Merluccius","productus","(Ayres, 1855)",183411,2010,"LC","","Marine"
"Merlus gayi","ACTINOPTERYGII","GADIFORMES","MERLUCCIIDAE","Merlus","gayi","(Guichenot, 1848)",183527,2010,"DD","","Marine"
"Merolepis chryselis","ACTINOPTERYGII","PERCIFORMES","CENTRACANTHIDAE","Merolepis","chryselis","(Linnaeus, 1758)",170280,2014,"LC","","Marine"
"Merolepis maena","ACTINOPTERYGII","PERCIFORMES","CENTRACANTHIDAE","Merolepis","maena","(Linnaeus, 1758)",170280,2014,"LC","","Marine"
"Merops americanus","AVES","CORACIIFORMES","MEROPIDAE","Merops","americanus","P. L. S. Müller, 1776",22725908,2014,"LC","","Marine"
"Merops persicus","AVES","CORACIIFORMES","MEROPIDAE","Merops","persicus","Pallas, 1773",22683740,2012,"LC","","Marine"
"Merops revoilii","AVES","CORACIIFORMES","MEROPIDAE","Merops","revoilii","Oustalet, 1882",22683710,2012,"LC","","Marine"
"Merops superciliosus","AVES","CORACIIFORMES","MEROPIDAE","Merops","superciliosus","Linnaeus, 1766",22683744,2012,"LC","","Marine"
"Merops viridis","AVES","CORACIIFORMES","MEROPIDAE","Merops","viridis","Linnaeus, 1758",22725900,2014,"LC","","Marine"
"Merulina ampliata","ANTHOZOA","SCLERACTINIA","MERULINIDAE","Merulina","ampliata","(Ellis and Solander 1786)",133337,2014,"LC","","Marine"
"Merulina scabricula","ANTHOZOA","SCLERACTINIA","MERULINIDAE","Merulina","scabricula","Dana 1846",133024,2014,"LC","","Marine"
"Merulina scheeri","ANTHOZOA","SCLERACTINIA","MERULINIDAE","Merulina","scheeri","Head 1983",132953,2008,"LC","","Marine"
"Meseres atlanticus","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Meseres","atlanticus","(R. Perrier, 1902)",180271,2013,"DD","","Marine"
"Meseres globigerinae","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Meseres","globigerinae","(Sluiter, 1901)",180259,2013,"DD","","Marine"
"Meseres hyalegerus","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Meseres","hyalegerus","(Sluiter, 1901)",19743094,2013,"LC","","Marine"
"Meseres peripatus","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Meseres","peripatus","(Sluiter, 1901)",180459,2013,"DD","","Marine"
"Meseres spiculiferum","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Meseres","spiculiferum","O'Loughlin,2002",180415,2013,"DD","","Marine"
"Meseres spiculiferus","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Meseres","spiculiferus","O'Loughlin,2002",180415,2013,"DD","","Marine"
"Mesites alpinus","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE","Mesites","alpinus","(Jenyns, 1842)",197279,2014,"LC","","Marine"
"Mesites attenuatus","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE","Mesites","attenuatus","(Jenyns, 1842)",197279,2014,"LC","","Marine"
"Mesites gracillimus","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE","Mesites","gracillimus","(Jenyns, 1842)",197279,2014,"LC","","Marine"
"Mesites maculatus","ACTINOPTERYGII","OSMERIFORMES","GALAXIIDAE","Mesites","maculatus","(Jenyns, 1842)",197279,2014,"LC","","Marine"
"Mesogobius batrachocephalus","ACTINOPTERYGII","PERCIFORMES","GOBIIDAE","Mesogobius","batrachocephalus","(Pallas, 1814)",13232,2008,"LC","","Marine"
"Mesonerilla prospera","POLYCHAETA","NERILLIDA","NERILLIDAE","Mesonerilla","prospera","Sterrer &amp; Iliffe, 1982",13238,1996,"CR","B1+2c","Marine"
"Mesonychoteuthis hamiltoni","CEPHALOPODA","OEGOPSIDA","CRANCHIIDAE","Mesonychoteuthis","hamiltoni","Robson, 1925",163170,2014,"LC","","Marine"
"Mesophyllum laxum","FLORIDEOPHYCEAE","CORALLINALES","HAPALIDIACEAE","Mesophyllum","laxum","M.Lemoine",63637,2007,"DD","","Marine"
"Mesoplodon bahamondi","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","bahamondi","(Gray, 1874)",41760,2008,"DD","","Marine"
"Mesoplodon bidens","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","bidens","(Sowerby, 1804)",13241,2008,"DD","","Marine"
"Mesoplodon bowdoini","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","bowdoini","Andrews, 1908",13242,2008,"DD","","Marine"
"Mesoplodon carlhubbsi","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","carlhubbsi","Moore, 1963",13243,2008,"DD","","Marine"
"Mesoplodon densirostris","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","densirostris","(Blainville, 1817)",13244,2008,"DD","","Marine"
"Mesoplodon europaeus","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","europaeus","(Gervais, 1855)",13245,2008,"DD","","Marine"
"Mesoplodon gervaisi","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","gervaisi","(Gervais, 1855)",13245,2008,"DD","","Marine"
"Mesoplodon ginkgodens","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","ginkgodens","Nishiwaki &amp; Kamiya, 1958",13246,2008,"DD","","Marine"
"Mesoplodon grayi","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","grayi","Von Haast, 1876",13247,2008,"DD","","Marine"
"Mesoplodon hectori","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","hectori","(Gray, 1871)",13248,2008,"DD","","Marine"
"Mesoplodon hotaula","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","hotaula","Nishiwaki &amp; Kamiya, 1958",13246,2008,"DD","","Marine"
"Mesoplodon layardii","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","layardii","(Gray, 1865)",13249,2008,"DD","","Marine"
"Mesoplodon mirus","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","mirus","True, 1913",13250,2008,"DD","","Marine"
"Mesoplodon pacificus","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","pacificus","(Longman, 1926)",40635,2008,"DD","","Marine"
"Mesoplodon perrini","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","perrini","Dalebout, Mead, Baker, Baker &amp; van Helden, 2002",41759,2008,"DD","","Marine"
"Mesoplodon peruvianus","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","peruvianus","Reyes, Mead &amp; Van Waerebeek, 1991",13251,2008,"DD","","Marine"
"Mesoplodon stejnegeri","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","stejnegeri","True, 1885",13252,2008,"DD","","Marine"
"Mesoplodon traversii","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","traversii","(Gray, 1874)",41760,2008,"DD","","Marine"
"Mesoprion aratus","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","aratus","(Günther, 1864)",183763,2010,"LC","","Marine"
"Mesoprion argentiventris","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","argentiventris","(Peters, 1869)",183948,2010,"LC","","Marine"
"Mesoprion arnillo","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","arnillo","Guichenot, 1853",155126,2010,"LC","","Marine"
"Mesoprion cyanopterus","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","cyanopterus","(Cuvier, 1828)",12417,1996,"VU","A2d","Marine"
"Mesoprion decussatus","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","decussatus","(Cuvier, 1828)",155089,2010,"LC","","Marine"
"Mesoprion emeryii","ACTINOPTERYGII","PERCIFORMES","NEMIPTERIDAE","Mesoprion","emeryii","(Richardson, 1843)",155300,2010,"LC","","Marine"
"Mesoprion guttatus","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","guttatus","(Steindachner, 1869)",183777,2010,"LC","","Marine"
"Mesoprion inermis","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","inermis","(Peters, 1869)",183282,2010,"LC","","Marine"
"Mesoprion pacificus","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","pacificus","Gill, 1862",183311,2010,"LC","","Marine"
"Mesoprion pargus","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","pargus","(Cuvier, 1828)",12417,1996,"VU","A2d","Marine"
"Mesoprion therapon","ACTINOPTERYGII","PERCIFORMES","LUTJANIDAE","Mesoprion","therapon","(Cuvier, 1828)",155089,2010,"LC","","Marine"
"Mesopristes argenteus","ACTINOPTERYGII","PERCIFORMES","TERAPONTIDAE","Mesopristes","argenteus","(Cuvier, 1829)",196447,2012,"LC","","Marine"
"Mesopristes cancellatus","ACTINOPTERYGII","PERCIFORMES","TERAPONTIDAE","Mesopristes","cancellatus","(Cuvier, 1829)",196448,2012,"LC","","Marine"
"Mesothuria abberviata","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","abberviata","Koehler &amp; Vaney, 1905",180339,2013,"DD","","Marine"
"Mesothuria bifurcata","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","bifurcata","Hérouard, 1906",180262,2013,"DD","","Marine"
"Mesothuria candelabra","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","candelabra","Hérouard, 1923",180462,2013,"DD","","Marine"
"Mesothuria candelabri","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","candelabri","Hérouard, 1923",180462,2013,"DD","","Marine"
"Mesothuria carnosa","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","carnosa","Fisher,1907",180434,2013,"DD","","Marine"
"Mesothuria cathedralis","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","cathedralis","Heding, 1940",180214,2013,"DD","","Marine"
"Mesothuria connectens","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","connectens","(R. Perrier,1898)",180345,2013,"DD","","Marine"
"Mesothuria crebrapedes","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","crebrapedes","Cherbonnier &amp; Féral, 1981",180505,2013,"DD","","Marine"
"Mesothuria edwardensis","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","edwardensis","Massin, 1992",19718565,2013,"DD","","Marine"
"Mesothuria expectans","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","expectans","R. Perrier, 1898",180300,2013,"DD","","Marine"
"Mesothuria gargantua","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","gargantua","Deichmann, 1930",19718927,2013,"LC","","Marine"
"Mesothuria holothurioides","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","holothurioides","Sluiter, 1901",19719775,2013,"DD","","Marine"
"Mesothuria incerta","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","incerta","Koehler &amp; Vaney, 1905",19719847,2013,"DD","","Marine"
"Mesothuria intestinalis","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","intestinalis","(Ascanius, 1805)",180540,2013,"LC","","Marine"
"Mesothuria lactea","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","lactea","(Théel, 1886)",180468,2013,"LC","","Marine"
"Mesothuria magellani","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","magellani","Ludwig, 1883",19719913,2013,"LC","","Marine"
"Mesothuria marginata","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","marginata","Sluiter, 1901",19743693,2013,"DD","","Marine"
"Mesothuria maroccana","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","maroccana","Perrier, 1902",180517,2013,"DD","","Marine"
"Mesothuria megapoda","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","megapoda","Clark, 1920",19720016,2013,"LC","","Marine"
"Mesothuria milleri","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","milleri","Ludwig, 1894",180546,2013,"DD","","Marine"
"Mesothuria multipes","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","multipes","Ludwig,1894",180316,2013,"LC","","Marine"
"Mesothuria multipora","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","multipora","Clark, 1920",19720058,2013,"DD","","Marine"
"Mesothuria murrayi","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","murrayi","(Théel,1886)",180331,2013,"LC","","Marine"
"Mesothuria oktaknemoides","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","oktaknemoides","Heding, 1940",19720743,2013,"DD","","Marine"
"Mesothuria oktaknemus","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","oktaknemus","(Théel, 1886)",180276,2013,"DD","","Marine"
"Mesothuria oktaknemus","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","oktaknemus","Sluiter, 1901",19720826,2013,"DD","","Marine"
"Mesothuria regularia","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","regularia","Heding, 1940",180333,2013,"DD","","Marine"
"Mesothuria roulei","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","roulei","(Koehler, 1896)",180496,2013,"DD","","Marine"
"Mesothuria rugosa","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","rugosa","Hérouard, 1912",180299,2013,"LC","","Marine"
"Mesothuria squamosa","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","squamosa","Koehler &amp; Vaney, 1905",19720909,2013,"DD","","Marine"
"Mesothuria sufflava","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","sufflava","Cherbonnier &amp; Féral, 1984",180409,2013,"DD","","Marine"
"Mesothuria thomsoni","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","thomsoni","(Théel, 1886)",19743767,2013,"DD","","Marine"
"Mesothuria triradiata","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","triradiata","Heding, 1942",180379,2013,"DD","","Marine"
"Mesothuria verrilli","HOLOTHUROIDEA","ASPIDOCHIROTIDA","SYNALLACTIDAE","Mesothuria","verrilli","(Théel, 1886)",180276,2013,"DD","","Marine"
"Metanephrops andamanicus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","andamanicus","Macpherson, 1990",169963,2013,"LC","","Marine"
"Metanephrops andamanicus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","andamanicus","(Wood-Mason, 1891)",169957,2013,"LC","","Marine"
"Metanephrops andamanicus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","andamanicus","Chan &amp; Yu, 1991",170064,2013,"LC","","Marine"
"Metanephrops arafurensis","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","arafurensis","(De Man, 1905)",170040,2013,"DD","","Marine"
"Metanephrops armatus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","armatus","Chan &amp; Yu, 1991",170003,2013,"DD","","Marine"
"Metanephrops australiensis","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","australiensis","(Bruce, 1966)",169965,2013,"LC","","Marine"
"Metanephrops binghami","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","binghami","(Boone, 1927)",170021,2013,"LC","","Marine"
"Metanephrops boschmai","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","boschmai","(Holthuis, 1964)",170050,2013,"LC","","Marine"
"Metanephrops challengeri","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","challengeri","(Balss, 1914)",169972,2013,"LC","","Marine"
"Metanephrops formosanus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","formosanus","Chan &amp; Yu, 1987",170039,2013,"DD","","Marine"
"Metanephrops japonicus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","japonicus","Chan &amp; Yu, 1991",170003,2013,"DD","","Marine"
"Metanephrops japonicus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","japonicus","(Tapparone-Canefri, 1873)",170036,2013,"DD","","Marine"
"Metanephrops mozambicus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","mozambicus","Macpherson, 1990",169963,2013,"LC","","Marine"
"Metanephrops neptunus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","neptunus","(Bruce, 1965)",170089,2013,"LC","","Marine"
"Metanephrops rubellus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","rubellus","(Moreira, 1903)",169959,2013,"DD","","Marine"
"Metanephrops sagamiensis","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","sagamiensis","(Parisi, 1917)",169971,2013,"DD","","Marine"
"Metanephrops sibogae","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","sibogae","(De Man, 1916)",170053,2013,"LC","","Marine"
"Metanephrops sinensis","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","sinensis","(Bruce, 1966)",170019,2013,"LC","","Marine"
"Metanephrops taiwanicus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","taiwanicus","(Hu, 1983)",185063,2013,"DD","","Marine"
"Metanephrops thomsoni","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","thomsoni","(Bate, 1888)",170079,2013,"DD","","Marine"
"Metanephrops velutinus","MALACOSTRACA","DECAPODA","NEPHROPIDAE","Metanephrops","velutinus","Chan &amp; Yu, 1991",170064,2013,"LC","","Marine"
"Metasepia pfefferi","CEPHALOPODA","SEPIOLOIDA","SEPIIDAE","Metasepia","pfefferi","(Hoyle, 1885)",162681,2012,"DD","","Marine"
"Metasepia tullbergi","CEPHALOPODA","SEPIOLOIDA","SEPIIDAE","Metasepia","tullbergi","(Appellöf, 1886)",162538,2012,"DD","","Marine"
"Meuschenia hippocrepis","ACTINOPTERYGII","TETRAODONTIFORMES","MONACANTHIDAE","Meuschenia","hippocrepis","(Quoy &amp; Gaimard, 1824)",155231,2010,"LC","","Marine"
"Micrapocryptes fragilis","ACTINOPTERYGII","PERCIFORMES","GOBIIDAE","Micrapocryptes","fragilis","(Hamilton, 1822)",168438,2010,"DD","","Marine"
"Micrenophrys lilljeborgii","ACTINOPTERYGII","SCORPAENIFORMES","COTTIDAE","Micrenophrys","lilljeborgii","(Collett, 1875)",18237151,2014,"LC","","Marine"
"Microcarbo africanus","AVES","SULIFORMES","PHALACROCORACIDAE","Microcarbo","africanus","(Gmelin, 1789)",22696725,2012,"LC","","Marine"
