sp_type,sp_type_orig,sp_name_orig,sp_id,sp_name,sp_id_old_notunique,sp_key,rgn_type,rgn_id,rgn_name,rgn_key,cntry_id12,rgn_id12,rgn_name12,notes
eez,eez,Bermuda,108,Bermuda,108,BMU,eez,108,Bermuda,BMU,BMU,85,British Caribbean Territories,
land,land,Bermuda,108,Bermuda,108,BMU,land,108,Bermuda,BMU,BMU,85,British Caribbean Territories,
eez,eez,Belize,164,Belize,164,BLZ,eez,164,Belize,BLZ,BLZ,117,Belize,
land,land,Belize,164,Belize,164,BLZ,land,164,Belize,BLZ,BLZ,117,Belize,
land-noeez,land-noeez,Belarus,305,Belarus,305,BLR,land-noeez,305,Belarus,BLR,,,,
eez,eez,Bosnia and Herzegovina,232,Bosnia and Herzegovina,232,BIH,eez,232,Bosnia and Herzegovina,BIH,BIH,172,Bosnia and Herzegovina,
land,land,Bosnia and Herzegovina,232,Bosnia and Herzegovina,232,BIH,land,232,Bosnia and Herzegovina,BIH,BIH,172,Bosnia and Herzegovina,
eez,eez,Bahamas,110,Bahamas,110,BHS,eez,110,Bahamas,BHS,BHS,80,Bahamas,
land,land,Bahamas,110,Bahamas,110,BHS,land,110,Bahamas,BHS,BHS,80,Bahamas,
eez,eez,Bahrain,52,Bahrain,52,BHR,eez,52,Bahrain,BHR,BHR,38,Bahrain,
land,land,Bahrain,52,Bahrain,52,BHR,land,52,Bahrain,BHR,BHR,38,Bahrain,
eez,eez,Bulgaria,71,Bulgaria,71,BGR,eez,71,Bulgaria,BGR,,,,
land,land,Bulgaria,71,Bulgaria,71,BGR,land,71,Bulgaria,BGR,BGR,54,Bulgaria,
eez,eez,Bangladesh,204,Bangladesh,204,BGD,eez,204,Bangladesh,BGD,BGD,154,Bangladesh,
land,land,Bangladesh,204,Bangladesh,204,BGD,land,204,Bangladesh,BGD,BGD,154,Bangladesh,
land-noeez,land-noeez,Burkina Faso,309,Burkina Faso,309,BFA,land-noeez,309,Burkina Faso,BFA,,,,
eez,eez,Saba,248,Saba,248,BES,eez,248,Saba,BES,ANT,94,Netherlands Caribbean Territories,
land,land,Saba,248,Saba,248,BES,land,248,Saba,BES,ANT,94,Netherlands Caribbean Territories,
eez,eez,Benin,99,Benin,99,BEN,eez,99,Benin,BEN,BEN,72,Benin,
land,land,Benin,99,Benin,99,BEN,land,99,Benin,BEN,BEN,72,Benin,
eez,eez,Belgium,59,Belgium,59,BEL,eez,59,Belgium,BEL,BEL,42,Belgium,
land,land,Belgium,59,Belgium,59,BEL,land,59,Belgium,BEL,BEL,42,Belgium,
land-noeez,land-noeez,Burundi,310,Burundi,310,BDI,land-noeez,310,Burundi,BDI,,,,
eez-inland,eez-inland,Azerbaijan,241,Azerbaijan,241,AZE,eez-inland,255,Azerbaijan,AZE,AZE,173,Azerbaijan,
land-noeez,land-noeez,Azerbaijan,241,Azerbaijan,241,AZE,land-noeez,255,Azerbaijan,AZE,AZE,173,Azerbaijan,
eez,eez,Aruba,250,Aruba,250,AW,eez,250,Aruba,ABW,ANT,94,Netherlands Caribbean Territories,
land,land,Aruba,250,Aruba,250,AW,land,250,Aruba,ABW,ANT,94,Netherlands Caribbean Territories,
land-noeez,land-noeez,Austria,304,Austria,304,AUT,land-noeez,304,Austria,AUT,,,,
eez,eez,Australia,0,Australia,0,AUS,eez,16,Australia,AUS,AUS,12,Australia,
land,land,Australia,0,Australia,0,AUS,land,16,Australia,AUS,AUS,12,Australia,
eez,eez,Antigua and Barbuda,120,Antigua and Barbuda,120,ATG,eez,120,Antigua and Barbuda,ATG,ATG,87,Antigua and Barbuda,
land,land,Antigua and Barbuda,120,Antigua and Barbuda,120,ATG,land,120,Antigua and Barbuda,ATG,ATG,87,Antigua and Barbuda,
ccamlr,eez-ccamlr,48.1,248100,CCAMLR 48.1,1,XAQ481,eez,213,Antarctica,ATA,ATA,162,Antarctica,
ccamlr,eez-ccamlr,48.2,248200,CCAMLR 48.2,2,XAQ482,eez,213,Antarctica,ATA,ATA,163,Antarctica,
ccamlr,eez-ccamlr,48.3,248300,CCAMLR 48.3,3,XAQ483,eez,213,Antarctica,ATA,ATA,164,Antarctica,
ccamlr,eez-ccamlr,48.4,248400,CCAMLR 48.4,4,XAQ484,eez,213,Antarctica,ATA,ATA,165,Antarctica,
ccamlr,eez-ccamlr,48.5,248500,CCAMLR 48.5,5,XAQ485,eez,213,Antarctica,ATA,ATA,166,Antarctica,
ccamlr,eez-ccamlr,48.6,248600,CCAMLR 48.6,6,XAQ486,eez,213,Antarctica,ATA,ATA,167,Antarctica,
ccamlr,eez-ccamlr,58.4.1,258410,CCAMLR 58.4.1,7,XAQ5841,eez,213,Antarctica,ATA,ATA,173,Antarctica,
ccamlr,eez-ccamlr,58.4.2,258420,CCAMLR 58.4.2,8,XAQ5842,eez,213,Antarctica,ATA,ATA,174,Antarctica,
ccamlr,eez-ccamlr,58.4.3.a,258431,CCAMLR 58.4.3.a,9,XAQ5843a,eez,213,Antarctica,ATA,ATA,175,Antarctica,
ccamlr,eez-ccamlr,58.4.3.b,258432,CCAMLR 58.4.3.b,10,XAQ5843b,eez,213,Antarctica,ATA,ATA,176,Antarctica,
ccamlr,eez-ccamlr,58.4.4.a,258441,CCAMLR 58.4.4.a,11,XAQ5844a,eez,213,Antarctica,ATA,ATA,177,Antarctica,
ccamlr,eez-ccamlr,58.4.4.b,258442,CCAMLR 58.4.4.b,12,XAQ5844b,eez,213,Antarctica,ATA,ATA,178,Antarctica,
ccamlr,eez-ccamlr,58.5.1,258510,CCAMLR 58.5.1,13,XAQ5851,eez,213,Antarctica,ATA,ATA,179,Antarctica,
ccamlr,eez-ccamlr,58.5.2,258520,CCAMLR 58.5.2,14,XAQ5852,eez,213,Antarctica,ATA,ATA,180,Antarctica,
ccamlr,eez-ccamlr,58.6,258600,CCAMLR 58.6,15,XAQ586,eez,213,Antarctica,ATA,ATA,168,Antarctica,
ccamlr,eez-ccamlr,58.7,258700,CCAMLR 58.7,16,XAQ587,eez,213,Antarctica,ATA,ATA,169,Antarctica,
ccamlr,eez-ccamlr,88.1,288100,CCAMLR 88.1,17,XAQ881,eez,213,Antarctica,ATA,ATA,170,Antarctica,
ccamlr,eez-ccamlr,88.2,288200,CCAMLR 88.2,18,XAQ882,eez,213,Antarctica,ATA,ATA,171,Antarctica,
ccamlr,eez-ccamlr,88.3,288300,CCAMLR 88.3,19,XAQ883,eez,213,Antarctica,ATA,ATA,172,Antarctica,
ccamlr,land-ccamlr,48.1,248100,CCAMLR 48.1,1,XAQ481,land,213,Antarctica,ATA,ATA,162,Antarctica,
ccamlr,land-ccamlr,48.2,248200,CCAMLR 48.2,2,XAQ482,land,213,Antarctica,ATA,ATA,163,Antarctica,
ccamlr,land-ccamlr,48.3,248300,CCAMLR 48.3,3,XAQ483,land,213,Antarctica,ATA,ATA,164,Antarctica,
ccamlr,land-ccamlr,48.4,248400,CCAMLR 48.4,4,XAQ484,land,213,Antarctica,ATA,ATA,165,Antarctica,
ccamlr,land-ccamlr,48.5,248500,CCAMLR 48.5,5,XAQ485,land,213,Antarctica,ATA,ATA,166,Antarctica,
ccamlr,land-ccamlr,48.6,248600,CCAMLR 48.6,6,XAQ486,land,213,Antarctica,ATA,ATA,167,Antarctica,
ccamlr,land-ccamlr,58.4.1,258410,CCAMLR 58.4.1,7,XAQ5841,land,213,Antarctica,ATA,ATA,173,Antarctica,
ccamlr,land-ccamlr,58.4.2,258420,CCAMLR 58.4.2,8,XAQ5842,land,213,Antarctica,ATA,ATA,174,Antarctica,
ccamlr,land-ccamlr,58.4.3.a,258431,CCAMLR 58.4.3.a,9,XAQ5843a,land,213,Antarctica,ATA,ATA,175,Antarctica,
ccamlr,land-ccamlr,58.4.3.b,258432,CCAMLR 58.4.3.b,10,XAQ5843b,land,213,Antarctica,ATA,ATA,176,Antarctica,
ccamlr,land-ccamlr,58.4.4.a,258441,CCAMLR 58.4.4.a,11,XAQ5844a,land,213,Antarctica,ATA,ATA,177,Antarctica,
ccamlr,land-ccamlr,58.4.4.b,258442,CCAMLR 58.4.4.b,12,XAQ5844b,land,213,Antarctica,ATA,ATA,178,Antarctica,
ccamlr,land-ccamlr,58.5.1,258510,CCAMLR 58.5.1,13,XAQ5851,land,213,Antarctica,ATA,ATA,179,Antarctica,
ccamlr,land-ccamlr,58.5.2,258520,CCAMLR 58.5.2,14,XAQ5852,land,213,Antarctica,ATA,ATA,180,Antarctica,
ccamlr,land-ccamlr,58.6,258600,CCAMLR 58.6,15,XAQ586,land,213,Antarctica,ATA,ATA,168,Antarctica,
ccamlr,land-ccamlr,58.7,258700,CCAMLR 58.7,16,XAQ587,land,213,Antarctica,ATA,ATA,169,Antarctica,
ccamlr,land-ccamlr,88.1,288100,CCAMLR 88.1,17,XAQ881,land,213,Antarctica,ATA,ATA,170,Antarctica,
ccamlr,land-ccamlr,88.2,288200,CCAMLR 88.2,18,XAQ882,land,213,Antarctica,ATA,ATA,171,Antarctica,
ccamlr,land-ccamlr,88.3,288300,CCAMLR 88.3,19,XAQ883,land,213,Antarctica,ATA,ATA,172,Antarctica,
eez,eez,American Samoa,151,American Samoa,151,ASM,eez,151,American Samoa,ASM,ASM,111,USA Pacific Inhabited Territories,
land,land,American Samoa,151,American Samoa,151,ASM,land,151,American Samoa,ASM,ASM,111,USA Pacific Inhabited Territories,
eez,eez,Ascension,85,Ascension,85,ASC,eez,85,Ascension,ASC,Ascension,68,British Southern Ocean Territories,
land,land,Ascension,85,Ascension,85,ASC,land,85,Ascension,ASC,Ascension,68,British Southern Ocean Territories,
land-noeez,land-noeez,Armenia,303,Armenia,303,ARM,land-noeez,303,Armenia,ARM,,,,
eez,eez,Argentina,172,Argentina,172,ARG,eez,172,Argentina,ARG,ARG,123,Argentina,
land,land,Argentina,172,Argentina,172,ARG,land,172,Argentina,ARG,ARG,123,Argentina,
eez,eez,United Arab Emirates,54,United Arab Emirates,54,ARE,eez,54,United Arab Emirates,ARE,ARE,40,United Arab Emirates,
land,land,United Arab Emirates,54,United Arab Emirates,54,ARE,land,54,United Arab Emirates,ARE,ARE,40,United Arab Emirates,
eez,eez,Sint-Eustasius,249,Sint-Eustasius,249,ANT,eez,249,Sint Eustatius,ANT,ANT,94,Netherlands Caribbean Territories,
land,land,Sint-Eustasius,249,Sint-Eustasius,249,ANT,land,249,Sint Eustatius,ANT,ANT,94,Netherlands Caribbean Territories,
land-noeez,land-noeez,Andorra,302,Andorra,302,AND,land-noeez,302,Andorra,AND,,,,
eez,eez,Albania,82,Albania,82,ALB,eez,82,Albania,ALB,ALB,65,Albania,
land,land,Albania,82,Albania,82,ALB,land,82,Albania,ALB,ALB,65,Albania,
eez,eez,Anguilla,118,Anguilla,118,AIA,eez,118,Anguilla,AIA,AIA,85,British Caribbean Territories,
land,land,Anguilla,118,Anguilla,118,AIA,land,118,Anguilla,AIA,AIA,85,British Caribbean Territories,
eez,eez,Angola,200,Angola,200,AGO,eez,200,Angola,AGO,AGO,151,Angola,
land,land,Angola,200,Angola,200,AGO,land,200,Angola,AGO,AGO,151,Angola,
land-noeez,land-noeez,Afghanistan,301,Afghanistan,301,AFG,land-noeez,301,Afghanistan,AFG,,,,
