"fao_saup_id","taxon_name_key","year","catch"
"481_0","Notothenia rossii_6",1998,0
"481_0","Notothenia squamifrons_6",1998,0
"481_0","Nototheniidae_4",1998,0.026
"481_0","Nototheniops nudifrons_6",1998,0
"481_0","Osteichthyes_2",1998,0.512
"481_0","Pleuragramma antarcticum_6",1998,0
"481_0","Pseudochaenichthys georgianus_6",1998,0
"481_0","Rajiformes_3",1998,0.028
"481_0","Trematomus spp_5",1998,0
"481_0","Cephalopoda_2",1999,0
"481_0","Chaenocephalus aceratus_6",1999,0
"481_0","Chaenodraco wilsoni_6",1999,0
"481_0","Champsocephalus gunnari_6",1999,0
"481_0","Channichthyidae_4",1999,0
"481_0","Channichthys rhinoceratus_6",1999,0
"481_0","Chionodraco rastrospinosus_6",1999,0
"481_0","Dissostichus eleginoides_6",1999,0
"481_0","Dissostichus mawsoni_6",1999,0
"481_0","Euphausia superba_6",1999,38895.033
"481_0","Lithodes murrayi_6",1999,0
"481_0","Loliginidae, Ommastrephidae_3",1999,0
"481_0","Macrourus spp_5",1999,0
"481_0","Myctophidae_4",1999,0
"481_0","Notothenia gibberifrons_6",1999,0
"481_0","Notothenia kempi_6",1999,0
"481_0","Notothenia neglecta_6",1999,0
"481_0","Notothenia rossii_6",1999,0
"481_0","Notothenia squamifrons_6",1999,0
"481_0","Nototheniidae_4",1999,0
"481_0","Nototheniops nudifrons_6",1999,0
"481_0","Osteichthyes_2",1999,0
"481_0","Pleuragramma antarcticum_6",1999,0
"481_0","Pseudochaenichthys georgianus_6",1999,0
"481_0","Rajiformes_3",1999,0
"481_0","Trematomus spp_5",1999,0
"481_0","Cephalopoda_2",2000,0
"481_0","Chaenocephalus aceratus_6",2000,0
"481_0","Chaenodraco wilsoni_6",2000,0
"481_0","Champsocephalus gunnari_6",2000,0
"481_0","Channichthyidae_4",2000,0
"481_0","Channichthys rhinoceratus_6",2000,0
"481_0","Chionodraco rastrospinosus_6",2000,0
"481_0","Dissostichus eleginoides_6",2000,0
"481_0","Dissostichus mawsoni_6",2000,0
"481_0","Euphausia superba_6",2000,71977.2
"481_0","Lithodes murrayi_6",2000,0
"481_0","Loliginidae, Ommastrephidae_3",2000,0
"481_0","Macrourus spp_5",2000,0
"481_0","Myctophidae_4",2000,0
"481_0","Notothenia gibberifrons_6",2000,0
"481_0","Notothenia kempi_6",2000,0
"481_0","Notothenia neglecta_6",2000,0
"481_0","Notothenia rossii_6",2000,0
"481_0","Notothenia squamifrons_6",2000,0
"481_0","Nototheniidae_4",2000,0
"481_0","Nototheniops nudifrons_6",2000,0
"481_0","Osteichthyes_2",2000,0
"481_0","Pleuragramma antarcticum_6",2000,0
"481_0","Pseudochaenichthys georgianus_6",2000,0
"481_0","Rajiformes_3",2000,0
"481_0","Trematomus spp_5",2000,0
"481_0","Cephalopoda_2",2001,0
"481_0","Chaenocephalus aceratus_6",2001,0.738
"481_0","Chaenodraco wilsoni_6",2001,0.001
"481_0","Champsocephalus gunnari_6",2001,0.788
"481_0","Channichthyidae_4",2001,0.048
"481_0","Channichthys rhinoceratus_6",2001,0
"481_0","Chionodraco rastrospinosus_6",2001,0.503
"481_0","Dissostichus eleginoides_6",2001,0
"481_0","Dissostichus mawsoni_6",2001,0.04
"481_0","Euphausia superba_6",2001,46777.9
"481_0","Lithodes murrayi_6",2001,0
"481_0","Loliginidae, Ommastrephidae_3",2001,0
"481_0","Macrourus spp_5",2001,0
"481_0","Myctophidae_4",2001,0
"481_0","Notothenia gibberifrons_6",2001,2.128
"481_0","Notothenia kempi_6",2001,0
"481_0","Notothenia neglecta_6",2001,2.296
"481_0","Notothenia rossii_6",2001,0.124
"481_0","Notothenia squamifrons_6",2001,0.132
"481_0","Nototheniidae_4",2001,0.039
"481_0","Nototheniops nudifrons_6",2001,0.138
"481_0","Osteichthyes_2",2001,0.142
"481_0","Pleuragramma antarcticum_6",2001,0.001
"481_0","Pseudochaenichthys georgianus_6",2001,0.142
"481_0","Rajiformes_3",2001,0.08
"481_0","Trematomus spp_5",2001,0.12
"481_0","Cephalopoda_2",2002,0
"481_0","Chaenocephalus aceratus_6",2002,0
"481_0","Chaenodraco wilsoni_6",2002,0
"481_0","Champsocephalus gunnari_6",2002,0
"481_0","Channichthyidae_4",2002,0
"481_0","Channichthys rhinoceratus_6",2002,0
"481_0","Chionodraco rastrospinosus_6",2002,0
"481_0","Dissostichus eleginoides_6",2002,0
"481_0","Dissostichus mawsoni_6",2002,0
"481_0","Euphausia superba_6",2002,10645.9
"481_0","Lithodes murrayi_6",2002,0
"481_0","Loliginidae, Ommastrephidae_3",2002,0
"481_0","Macrourus spp_5",2002,0
"481_0","Myctophidae_4",2002,0
"481_0","Notothenia gibberifrons_6",2002,0
"481_0","Notothenia kempi_6",2002,0
"481_0","Notothenia neglecta_6",2002,0
"481_0","Notothenia rossii_6",2002,0
"481_0","Notothenia squamifrons_6",2002,0
"481_0","Nototheniidae_4",2002,0
"481_0","Nototheniops nudifrons_6",2002,0
"481_0","Osteichthyes_2",2002,0
"481_0","Pleuragramma antarcticum_6",2002,0
"481_0","Pseudochaenichthys georgianus_6",2002,0
"481_0","Rajiformes_3",2002,0
"481_0","Trematomus spp_5",2002,0
"481_0","Cephalopoda_2",2003,0
"481_0","Chaenocephalus aceratus_6",2003,0
"481_0","Chaenodraco wilsoni_6",2003,0
"481_0","Champsocephalus gunnari_6",2003,0
"481_0","Channichthyidae_4",2003,0
"481_0","Channichthys rhinoceratus_6",2003,0
"481_0","Chionodraco rastrospinosus_6",2003,0
"481_0","Dissostichus eleginoides_6",2003,0
"481_0","Dissostichus mawsoni_6",2003,0
"481_0","Euphausia superba_6",2003,35377.405
