"","sciname","common","TaxonKey","Resilience","SpecCode"
"864","Prionace glauca","Blue shark",600898,"Very low",898
"865","Rhizoprionodon porosus","Caribbean sharpnose shark",600903,"Very low",903
"866","Rhizoprionodon terraenovae","Atlantic sharpnose shark",600905,"Very low",905
"867","Sphyrna lewini","Scalloped hammerhead",600912,"Low",912
"868","Sphyrna tiburo","Bonnethead",600915,"Very low",915
"869","Acanthurus bahianus","Ocean surgeon",600942,"High",942
"870","Bagre bagre","Coco sea catfish",600958,"Low",958
"871","Decapterus macarellus","Mackerel scad",600993,"High",993
"872","Decapterus punctatus","Round scad",600994,"High",994
"873","Naucrates ductor","Pilotfish",600998,"High",998
"874","Selene vomer","Lookdown",601004,"Medium",1004
"875","Seriola dumerili","Greater amberjack",601005,"Medium",1005
"876","Trachinotus goodei","Great pompano",601011,"Medium",1011
"877","Uraspis secunda","Cottonmouth jack",601012,"Medium",1012
"878","Trisopterus esmarkii","Norway pout",601023,"Medium",1023
"879","Mugil curema","White mullet",601086,"Medium",1086
"880","Chaetodipterus faber","Atlantic spadefish",601024,"Medium",1024
"881","Lepidocybium flavobrunneum","Escolar",601042,"Low",1042
"882","Sardinella aurita","Round sardinella",601043,"High",1043
"883","Ruvettus pretiosus","Oilfish",601044,"Low",1044
"884","Sardinella maderensis","Madeiran sardinella",601047,"Medium",1047
"885","Diapterus rhombeus","Caitipa mojarra",601048,"High",1048
"886","Eucinostomus argenteus","Silver mojarra",601049,"High",1049
"887","Gerres cinereus","Yellow fin mojarra",601054,"Medium",1054
"888","Sparisoma rubripinne","Redfin parrotfish",601160,"High",1160
"889","Saurida undosquamis","Brushtooth lizardfish",601055,"Medium",1055
"890","Hemiramphus brasiliensis","Ballyhoo halfbeak",601059,"Medium",1059
"891","Holocentrus adscensionis","Squirrelfish",601061,"Medium",1061
"892","Holocentrus rufus","Longspine squirrelfish",601062,"High",1062
"893","Myripristis jacobus","Blackbar soldierfish",601063,"High",1063
"894","Lachnolaimus maximus","Hogfish",601071,"Medium",1071
"895","Lampris guttatus","Opah",601072,"Low",1072
"896","Lobotes surinamensis","Tripletail",601077,"High",1077
"897","Megalops atlanticus","Tarpon",601079,"Low",1079
"898","Mulloidichthys martinicus","Yellow goatfish",601092,"Medium",1092
"899","Haemulon aurolineatum","Tomtate grunt",601128,"Medium",1128
"900","Haemulon bonariense","Black grunt",601129,"Medium",1129
"901","Anchoa hepsetus","Broadstriped anchovy",601133,"High",1133
"902","Haemulon flavolineatum","French grunt",601135,"Medium",1135
"903","Haemulon sciurus","Bluestriped grunt",601141,"Medium",1141
"904","Sparisoma aurofrenatum","Redband parrotfish",601158,"Medium",1158
"905","Sparisoma chrysopterum","Redtail parrotfish",601159,"High",1159
"906","Sparisoma viride","Stoplight parrotfish",601161,"Medium",1161
"907","Ctenosciaena gracilicirrhus","Barbel drum",601168,"High",1168
"908","Cynoscion acoupa","Acoupa weakfish",601169,"Medium",1169
"909","Cynoscion arenarius","Sand weakfish",601170,"Medium",1170
"910","Cynoscion jamaicensis","Jamaica weakfish",601171,"High",1171
"911","Cynoscion leiarchus","Smooth weakfish",601173,"Medium",1173
"912","Cynoscion steindachneri","Smalltooth weakfish",601177,"Low",1177
"913","Cynoscion virescens","Green weakfish",601178,"Low",1178
"914","Isopisthus parvipinnis","Bigtooth corvina",601179,"High",1179
"915","Larimus breviceps","Shorthead drum",601180,"High",1180
"916","Nebris microps","Smalleye croaker",601184,"High",1184
"917","Stromateus fiatola","Blue butterfish",601198,"Medium",1198
"918","Hyporthodus mystacinus","Misty grouper",601206,"Very low",1206
"919","Calamus calamus","Saucereye porgy",601222,"Low",1222
"920","Sphyraena picudilla","Southern sennet",601237,"Medium",1237
"921","Lagocephalus laevigatus","Smooth puffer",601239,"Medium",1239
"922","Dasyatis guttata","Longnose stingray",601248,"Low",1248
"923","Acanthurus triostegus","Convict surgeonfish",601260,"Medium",1260
"924","Trachurus mediterraneus","Mediterranean horse mackerel",601278,"Medium",1278
"925","Trachurus picturatus","Blue jack mackerel",601279,"Medium",1279
"926","Trichiurus lepturus","Largehead hairtail",601288,"Medium",1288
"927","Ariomma indicum","Indian driftfish",601300,"High",1300
"928","Beryx decadactylus","Alfonsino",601319,"Low",1319
"929","Beryx splendens","Splendid alfonsino",601320,"Low",1320
"930","Osmerus eperlanus","European smelt",601334,"Medium",1334
"931","Pegusa lascaris","Sand sole",601336,"Medium",1336
"932","Phycis blennoides","Greater forkbeard",601340,"Medium",1340
"933","Platichthys flesus","European flounder",601341,NA,1341
"934","Pleuronectes platessa","European plaice",601342,NA,1342
"935","Pollachius virens","Saithe",601343,"Medium",1343
"936","Scophthalmus maximus","Turbot",601348,"Medium",1348
"937","Sardina pilchardus","European pilchard",601350,"Medium",1350
"938","Paralichthys olivaceus","Bastard halibut",601351,"Medium",1351
"939","Sebastes viviparus","Norway redfish",601352,"Very low",1352
"940","Spondyliosoma cantharus","Black seabream",601356,"Medium",1356
"941","Sprattus sprattus","European sprat",601357,"Medium",1357
"942","Sardinops sagax","Pacific sardine",601477,"Medium",1477
"943","Trachurus trachurus","Atlantic horse mackerel",601365,"Medium",1365
"944","Chelidonichthys lucerna","Tub gurnard",601366,"Low",1366
"945","Trisopterus luscus","Pouting",601367,"Medium",1367
"946","Zeus faber","John dory",601370,"Low",1370
"947","Hippoglossus hippoglossus","Atlantic halibut",601371,"Very low",1371
"948","Melanogrammus aeglefinus","Haddock",601381,"Medium",1381
"949","Microstomus kitt","Lemon sole",601382,"Medium",1382
"950","Etelis coruscans","Deepwater longtail red snapper",601385,"Low",1385
"951","Solea solea","Common sole",600525,"Medium",525
"952","Scophthalmus rhombus","Brill",600529,"Medium",529
"953","Scophthalmus aquosus","Windowpane flounder",600530,"Medium",530
"954","Stephanolepis cirrhifer","Thread-sail filefish",600531,"Medium",531
"955","Lophius americanus","American angler",600532,"Low",532
"956","Cetengraulis edentulus","Atlantic anchoveta",600547,"Medium",547
"957","Cetengraulis mysticetus","Pacific anchoveta",600548,"High",548
"958","Stolephorus indicus","Indian anchovy",600569,"High",569
"959","Labrus bergylta","Ballan wrasse",600572,"Low",572
"960","Hexanchus griseus","Bluntnose sixgill shark",600637,"Low",637
"961","Echinorhinus brucus","Bramble shark",600641,"Very low",641
"962","Lepidopus caudatus","Silver scabbardfish",600645,"Medium",645
"963","Aphanopus carbo","Black scabbardfish",600646,"Low",646
"964","Centrophorus granulosus","Gulper shark",600648,"Low",648
"965","Centrophorus squamosus","Leafscale gulper shark",600653,"Very low",653
"966","Centroscymnus coelolepis","Portuguese dogfish",600662,"Low",662
"967","Centroscymnus crepidater","Longnose velvet dogfish",600663,"Very low",663
"968","Sphyrna mokarran","Great hammerhead",600914,"Low",914
"969","Centroscymnus owstonii","Roughskin dogfish",600664,"Low",666
"970","Dalatias licha","Kitefin shark",600669,"Low",669
"971","Deania calcea","Birdbeak dogfish",600670,"Very low",670
"972","Etmopterus spinax","Velvet belly",600687,"Very low",687
"973","Lichia amia","Leerfish",600692,"Medium",692
"974","Limanda limanda","Common dab",600695,"Medium",695
"975","Lithognathus mormyrus","Sand steenbras",600706,"Medium",706
"976","Lophius piscatorius","Angler",600716,"Low",716
"977","Squatina squatina","Angelshark",600736,"Very low",736
"978","Carcharodon carcharias","Great white shark",600751,"Very low",751
"979","Isurus oxyrinchus","Shortfin mako",600752,"Very low",752
"980","Isurus paucus","Longfin mako",600753,"Very low",753
"981","Maurolicus muelleri","Silvery lightfish",600754,"Medium",754
"982","Apristurus profundorum","Deepwater catshark",600779,"Very low",779
"983","Mugil cephalus","Flathead grey mullet",600785,"Medium",785
"984","Mullus barbatus barbatus","Red mullet",600790,"Medium",790
"985","Cephaloscyllium isabellum","Draughtsboard shark",600797,"Low",797
"986","Galeus melastomus","Blackmouth catshark",600807,"Low",807
"987","Bythaelurus canescens","Dusky catshark",600817,"Low",817
"988","Oblada melanura","Saddled seabream",600850,"Medium",850
"989","Carcharhinus albimarginatus","Silvertip shark",600858,"Very low",858
"990","Carcharhinus amblyrhynchos","Blacktail reef shark",600861,"Very low",861
"991","Carcharhinus falciformis","Silky shark",600868,"Very low",868
"992","Carcharhinus galapagensis","Galapagos shark",600870,"Very low",870
"993","Carcharhinus leucas","Bull shark",600873,"Very low",873
"994","Carcharhinus limbatus","Blacktip shark",600874,"Low",874
"995","Carcharhinus longimanus","Oceanic whitetip shark",600875,"Very low",875
"996","Hippoglossoides platessoides","American plaice",604239,"Low",4239
"997","Parophrys vetulus","English sole",604248,"Medium",4248
"998","Pleuronectes quadrituberculatus","Alaska plaice",604250,"Very low",4250
"999","Psettichthys melanostictus","Pacific sand sole",604255,"Medium",4255
"1000","Canthidermis sufflamen","Ocean triggerfish",604279,"Medium",4279
"1001","Normanichthys crockeri","Mote sculpin",604313,"High",4313
"1002","Leptoscarus vaigiensis","Marbled parrotfish",604360,"High",4360
"1003","Upeneus sulphureus","Sulphur goatfish",604445,"High",4445
"1004","Leiognathus equulus","Common ponyfish",604451,"High",4451
"1005","Terapon jarbua","Jarbua terapon",604458,"Medium",4458
"1006","Sparidentex hasta","Sobaity seabream",604499,"Low",4499
"1007","Dentex maroccanus","Morocco dentex",604538,"Medium",4538
"1008","Pagrus caeruleostictus","Bluespotted seabream",604540,"Medium",4540
"1009","Raja brachyura","Blonde ray",604552,"Low",4552
"1010","Siganus lineatus","Goldenlined spinefoot",604625,"High",4625
"1011","Galeorhinus galeus","Tope shark",604642,"Very low",4642
"1012","Scatophagus argus","Spotted scat",604698,"High",4698
"1013","Notothenia coriiceps","Black rockcod",604702,"Low",4702
"1014","Acipenser gueldenstaedtii","Danube sturgeon",604712,"Very low",4712
"1015","Upeneus vittatus","Yellowstriped goatfish",604821,"High",4821
"1016","Otolithes ruber","Tigertoothed croaker",604824,"Medium",4824
"1017","Elops lacerta","West African ladyfish",604959,"Medium",4959
"1018","Scarus dimidiatus","Yellowbarred parrotfish",604973,"High",4973
"1019","Mustelus mustelus","Smooth-hound",604996,"Very low",4996
"1020","Nezumia aequalis","Common Atlantic grenadier",604997,"Medium",4997
"1021","Promethichthys prometheus","Roudi escolar",605008,"Medium",5008
"1022","Trigla lyra","Piper gurnard",605038,"Medium",5038
"1023","Arripis trutta","Australian salmon",605048,"Medium",5048
"1024","Pagrus auriga","Redbanded seabream",605066,"Very low",5066
"1025","Trigloporus lastoviza","Streaked gurnard",605081,"Medium",5081
"1026","Lophius budegassa","Blackbellied angler",605094,"Low",5094
"1027","Epinephelus fasciatus","Blacktip grouper",605348,"Low",5348
"1028","Epinephelus maculatus","Highfin grouper",605350,"Medium",5350
"1029","Alosa fallax","Twaite shad",605355,"Medium",5355
"1030","Trachurus capensis","Cape horse mackerel",605382,"Medium",5382
"1031","Hemiramphus far","Blackbarred halfbeak",605404,"High",5404
"1032","Raja microocellata","Small-eyed ray",605492,"Low",5492
"1033","Cetoscarus bicolor","Bicolour parrotfish",605538,"Medium",5538
"1034","Hipposcarus longiceps","Pacific longnose parrotfish",605539,"High",5539
"1035","Cheilinus trilobatus","Tripletail wrasse",605603,"Medium",5603
"1036","Ellochelon vaigiensis","Squaretail mullet",605656,"Low",5656
"1037","Moolgarda seheli","Bluespot mullet",605659,"Medium",5659
"1038","Mustelus schmitti","Narrownose smoothhound",605937,"Very low",5937
"1039","Mustelus asterias","Starry smooth-hound",605938,"Very low",5938
"1040","Mulloidichthys flavolineatus","Yellowstripe goatfish",605983,"Medium",5983
"1041","Parupeneus indicus","Indian goatfish",605992,"Medium",5992
"1042","Naso brevirostris","Spotted unicornfish",606021,"Medium",6021
"1043","Chirocentrus dorab","Dorab wolfherring",606358,"Medium",6358
"1044","Plectorhinchus vittatus","Indian Ocean oriental sweetlips",606369,"Low",25706
"1045","Cephalopholis argus","Peacock hind",606396,"Medium",6396
"1046","Rajella lintea","Sailray",606422,"Low",6422
"1047","Epinephelus malabaricus","Malabar grouper",606439,"Low",6439
"1048","Cephalopholis sonnerati","Tomato hind",606454,"Medium",6454
"1049","Cephalopholis urodeta","Darkfin hind",606456,"High",6456
"1050","Epinephelus marginatus","Dusky grouper",606470,"Low",6470
"1051","Epinephelus melanostigma","One-blotch grouper",606471,"Medium",6471
"1052","Epinephelus polyphekadion","Camouflage grouper",606473,"Very low",6473
"1053","Saurida tumbil","Greater lizardfish",606479,"Medium",6479
"1054","Sargocentron spiniferum","Sabre squirrelfish",606507,"Medium",6507
"1055","Hyporthodus septemfasciatus","Convict grouper",606574,"Very low",6574
"1056","Epinephelus hexagonatus","Starspotted grouper",606660,"High",6660
"1057","Bathyraja eatonii","Eatons skate",606948,"Low",6948
"1058","Electrona carlsbergi","Electron subantarctic",606985,"Medium",6985
"1059","Dissostichus mawsoni","Antarctic toothfish",607039,"Low",7039
"1060","Gobionotothen gibberifrons","Humped rockcod",607041,"Low",7041
"1061","Lepidonotothen squamifrons","Grey rockcod",607045,"Low",7045
"1062","Patagonotothen brevicauda brevicauda","Patagonian rockcod",607052,"Medium",7052
"1063","Trematomus hansoni","Striped rockcod",607055,"Medium",7055
"1064","Neopagetopsis ionah","Jonah's icefish",607113,"Medium",7113
"1065","Muraenolepis microps","Smalleye moray cod",607126,"Medium",7126
"1066","Macrourus carinatus","Ridge scaled rattail",607137,"Low",7137
"1067","Macrourus holotrachys","Bigeye grenadier",607138,"Very low",7138
"1068","Macrourus whitsoni","Whitson's grenadier",607139,"Very low",7139
"1069","Balistes capriscus","Grey triggerfish",607327,"Medium",7327
"1070","Epinephelus polylepis","Smallscaled grouper",607358,"Medium",7358
"1071","Epinephelus timorensis","Yellowspotted grouper",607367,"Medium",7367
"1072","Plectropomus laevis","Blacksaddled coralgrouper",607372,"Very low",7372
"1073","Saloptia powelli","Golden grouper",607374,"Medium",7374
"1074","Plesiobatis daviesi","Deepwater stingray",607376,"Low",7376
"1075","Trichopsetta caribbaea","Caribbean flounder",607530,"High",7530
"1076","Genyatremus luteus","Torroto grunt",607535,"Medium",7535
"1077","Gymnothorax moringa","Spotted moray",607547,"Low",7547
"1078","Polymixia nobilis","Stout beardfish",607557,"Medium",7557
"1079","Atlantoraja cyclophora","Eyespot skate",607609,"Very low",7609
"1080","Rostroraja alba","White skate",607613,"Low",7613
"1081","Dipturus oxyrinchus","Longnosed skate",607616,"Low",7616
"1082","Leucoraja fullonica","Shagreen ray",607619,"Low",7619
"1083","Micropogonias furnieri","Whitemouth croaker",607620,"Medium",7620
"1084","Plectorhinchus sordidus","Sordid rubberlip",607626,"Medium",7626
"1085","Bothus mancus","Flowery flounder",607641,"Medium",7641
"1086","Gerres longirostris","Strongspine silver-biddy",607699,"Medium",7699
"1087","Gerres methueni","Striped silver biddy",607700,"High",7700
"1088","Raja asterias","Mediterranean starry ray",608924,"Low",8924
"1089","Hydrolagus mirabilis","Largeeyed rabbitfish",609000,"Low",9000
"1090","Rhinochimaera atlantica","Straightnose rabbitfish",609005,"Low",9005
"1091","Neocyttus rhomboidalis","Spiky oreo",609146,"Very low",9146
"1092","Nemadactylus macropterus","Tarakihi",610106,"Low",10106
"1093","Netuma thalassina","Giant catfish",610220,"Low",10220
"1094","Takifugu vermicularis","Purple puffer",610301,"Medium",10301
"1095","Abudefduf luridus","Canary damsel",611820,"High",11820
"1096","Scomberomorus commerson","Narrowbarred Spanish mackerel",600121,"Medium",121
"1097","Scomberomorus guttatus","Indo-Pacific king mackerel",600123,"Medium",123
"1098","Scomberomorus lineolatus","Streaked seerfish",600125,"Medium",125
"1099","Prolatilus jugularis","Pacific sandperch",612917,"Medium",12917
"1100","Allocyttus niger","Black oreo",612962,"Very low",12962
"1101","Hydrolagus novaezealandiae","Dark ghost shark",613146,"Low",13146
"1102","Scomberomorus maculatus","Atlantic Spanish mackerel",600126,"Medium",126
"1103","Scomberomorus niphonius","Japanese Spanish mackerel",600131,"Medium",131
"1104","Scomberomorus regalis","Cero",600134,"Medium",134
"1105","Scomberomorus sierra","Pacific sierra",600136,"Medium",136
"1106","Somniosus microcephalus","Greenland shark",600138,"Very low",138
"1107","Squalus acanthias","Piked dogfish",600139,"Very low",139
"1108","Mullus argentinae","Argentine goatfish",614063,"Medium",14063
"1109","Lepidoperca pulchella","Orange perch",614354,"Medium",14354
"1110","Rhynchobatus australiae","Whitespotted wedgefish",615380,"Low",15380
"1111","Scomberomorus tritor","West African Spanish mackerel",600141,"Medium",141
"1112","Himantura gerrardi","Sharpnose stingray",615483,"Very low",15483
"1113","Naso caesius","Gray unicornfish",615628,"Medium",15628
"1114","Myripristis woodsi","Whitespot soldierfish",617190,"High",17190
"1115","Sicamugil cascasia","Yellowtail mullet",625225,"High",25225
"1116","Cilus gilberti","Corvina drum",626675,"Medium",26675
"1117","Sargocentron lepros","Spiny squirrelfish",627348,"High",27348
"1118","Grammoplites suppositus","Spotfin flathead",628128,"High",28128
"1119","Thunnus alalunga","Albacore",600142,"Medium",142
"1120","Lepidotrigla brachyoptera","Scaly gurnard",628232,"High",28232
"1121","Coregonus laurettae","Bering cisco",646941,"Medium",46941
"1122","Awaous tajasica","Sand fish",646950,"Medium",46950
"1123","Chlorurus sordidus","Daisy parrotfish",605556,"Medium",5556
"1124","Chaetodon auriga","Threadfin butterflyfish",605557,"High",5557
"1125","Chaetodon bennetti","Bluelashed butterflyfish",605559,"High",5559
"1126","Chaetodon citrinellus","Speckled butterflyfish",605561,"High",5561
"1127","Eutrigla gurnardus","Grey gurnard",600068,"Medium",68
"1128","Chaetodon lunula","Raccoon butterflyfish",605565,"High",5565
"1129","Chaetodon melannotus","Blackback butterflyfish",605566,"Low",5566
"1130","Chaetodon mertensii","Atoll butterflyfish",605567,"High",5567
"1131","Chaetodon quadrimaculatus","Fourspot butterflyfish",605572,"High",5572
"1132","Chaetodon reticulatus","Mailed butterflyfish",605574,"High",5574
"1133","Chaetodon trifascialis","Chevron butterflyfish",605578,"High",5578
"1134","Chaetodon ulietensis","Pacific doublesaddle butterflyfish",605580,"High",5580
"1135","Chaetodon unimaculatus","Teardrop butterflyfish",605581,"High",5581
"1136","Gadus morhua","Atlantic cod",600069,"Medium",69
"1137","Caranx hippos","Crevalle jack",600071,"Medium",71
"1138","Forcipiger flavissimus","Longnose butterfly fish",605584,"High",5584
"1139","Hemitaurichthys polylepis","Pyramid butterflyfish",605586,"High",5586
"1140","Heniochus acuminatus","Pennant coralfish",605588,"High",5588
"1141","Heniochus chrysostomus","Threeband pennantfish",605589,"High",5589
"1142","Heniochus monoceros","Masked bannerfish",605590,"High",5590
"1143","Heniochus singularius","Singular bannerfish",605591,"High",5591
"1144","Oxycheilinus arenatus","Speckled maori wrasse",605595,"Medium",5595
"1145","Oxycheilinus celebicus","Celebes wrasse",605597,"Medium",5597
"1146","Cheilinus chlorourus","Floral wrasse",605598,"Medium",5598
"1147","Oxycheilinus digramma","Cheeklined wrasse",605599,"Medium",5599
"1148","Cheilinus fasciatus","Redbreasted wrasse",605600,"Medium",5600
"1149","Oxycheilinus orientalis","Oriental maori wrasse",605601,"Medium",5601
"1150","Cheilinus undulatus","Humphead wrasse",605604,"Low",5604
"1151","Oxycheilinus unifasciatus","Ringtail maori wrasse",605605,"Medium",5605
"1152","Epibulus insidiator","Slingjaw wrasse",605606,"Low",5606
"1153","Cymolutes praetextatus","Knife razorfish",605607,"Medium",5607
"1154","Novaculichthys taeniourus","Rockmover wrasse",605610,"Medium",5610
"1155","Iniistius aneitensis","Yellowblotch razorfish",605611,"Medium",5611
"1156","Iniistius pavo","Peacock wrasse",605613,"Medium",5613
"1157","Pteragogus guttatus","Sneaky wrasse",605621,"High",5621
"1158","Cheilio inermis","Cigar wrasse",605623,"Low",5623
"1159","Coris aygula","Clown coris",605624,"Very low",5624
"1160","Gomphosus varius","Bird wrasse",605626,"Medium",5626
"1161","Halichoeres biocellatus","Redlined wrasse",605627,"High",5627
"1162","Halichoeres margaritaceus","Pink-belly wrasse",605630,"High",5630
"1163","Halichoeres marginatus","Dusky wrasse",605631,"High",5631
"1164","Halichoeres richmondi","Richmonds wrasse",605632,"Medium",5632
"1165","Halichoeres trimaculatus","Threespot wrasse",605634,"Medium",5634
"1166","Hemigymnus fasciatus","Barred thicklip",605635,"Medium",5635
"1167","Hologymnosus doliatus","Pastel ringwrasse",605638,"Low",5638
"1168","Stethojulis bandanensis","Red shoulder wrasse",605640,"High",5640
"1169","Thalassoma hardwicke","Sixbar wrasse",605643,"High",5643
"1170","Sargocentron praslin","Darkstriped squirrelfish",607714,"High",7714
"1171","Kuhlia rupestris","Rock flagtail",607715,"Medium",7715
"1172","Sorsogona prionota","Halfspined flathead",607897,"High",7897
"1173","Sphyraena flavicauda","Yellowtail barracuda",607937,"Medium",7937
"1174","Sphyraena putnamae","Sawtooth barracuda",607938,"Medium",7938
"1175","Sphyraena qenie","Blackfin barracuda",607939,"Very low",7939
"1176","Synodus jaculum","Lighthouse lizardfish",607943,"High",7943
"1177","Oxyurichthys papuensis","Frogface goby",608030,"Medium",8030
"1178","Myrichthys colubrinus","Harlequin snake eel",608053,"Medium",8053
"1179","Strongylura incisa","Reef needlefish",608121,"Low",8121
"1180","Odontesthes regia","Chilean silverside",608172,"High",8172
"1181","Girella tricuspidata","Parore",608173,"Low",8173
"1182","Takifugu rubripes","Japanese pufferfish",608198,"Medium",8198
"1183","Bollmannia chlamydes","Gobido cabezon",608273,"Medium",8273
"1184","Pontinus macrocephalus","Largeheaded scorpionfish",608280,"Very low",8280
"1185","Plectorhinchus pictus","Trout sweetlips",608315,"Low",8315
"1186","Seriolella porosa","Choicy ruff",608390,"Medium",8390
"1187","Bregmaceros mcclellandi","Unicorn cod",608421,"High",8421
"1188","Gaidropsarus ensis","Threadfin rockling",608425,"Medium",8425
"1189","Coelorinchus chilensis","Chilean grenadier",608445,"Low",8445
"1190","Lepidorhynchus denticulatus","Thorntooth grenadier",608483,"Low",8483
"1191","Pseudopleuronectes herzensteini","Yellow striped flounder",608556,"Medium",8556
"1192","Pelotretis flavilatus","Southern lemon sole",608848,"Medium",8848
"1193","Dipturus nidarosiensis","Norwegian skate",608900,"Low",8900
"1194","Rajella bigelowi","Bigelows ray",608936,"Low",8936
"1195","Spectrunculus grandis","Pudgy cuskeel",608991,"Very low",8991
"1196","Alepocephalus agassizii","Agassiz slickhead",609171,"Very low",9171
"1197","Epinephelus caninus","Dogtooth grouper",609217,"Very low",9217
"1198","Amblyraja hyperborea","Arctic skate",609256,"Low",9256
"1199","Pristigenys meyeri","Baga",609891,"High",9891
"1200","Priacanthus alalaua","Alalaua",609902,"High",9902
"1201","Gerres nigri","Guinean striped mojarra",609907,"High",9907
"1202","Plectorhinchus macrolepis","Biglip grunt",609908,"Medium",9908
"1203","Sicyopterus lagocephalus","Red-tailed goby",609994,"High",9994
"1204","Rhinobatos holcorhynchus","Slender guitarfish",610126,"Low",10126
"1205","Schedophilus pemarco","Pemarco blackfish",610190,"Medium",10190
"1206","Benthosema pterotum","Skinnycheek lanternfish",610238,"High",10238
"1207","Lophius vomerinus","Devil anglerfish",610256,"Low",10256
"1208","Ostichthys kaianus","Kai soldierfish",610285,"Low",10285
"1209","Cheilopogon agoo","Japanese flyingfish",610307,"High",10307
"1210","Patagonotothen ramsayi","Longtail southern cod",610308,"Medium",10308
"1211","Istigobius decoratus","Decorated goby",604328,"High",4328
"1212","Sphaeramia orbicularis","Orbiculate cardinalfish",604926,"High",4926
"1213","Scarus rivulatus","Rivulated parrotfish",604969,"Medium",4969
"1214","Chlorurus bowersi","Bower's parrotfish",605542,"High",5542
"1215","Stethojulis strigiventer","Three-ribbon wrasse",605641,"High",5641
"1216","Canthigaster bennetti","Bennett's sharpnose puffer",606541,"High",6541
"1217","Amblygobius phalaena","Whitebarred goby",607198,"High",7198
"1218","Dactyloptena peterseni","Starry flying gurnard",607691,"High",7691
"1219","Scolecenchelys australis","Shortfinned worm eel",624290,"High",24290
"1220","Bellator militaris","Horned searobin",604014,"High",4014
"1221","Porichthys porosissimus","Toadfish",612925,"Medium",12925
"1222","Aspistor quadriscutis","Bressou sea catfish",600956,"Medium",956
"1223","Odontognathus mucronatus","Guiana longfin herring",601655,"Medium",1655
"1224","Symphurus plagusia","Duskycheek tonguefish",607532,"Medium",7532
"1225","Abalistes stellaris","Starry triggerfish",600009,"Medium",9
"1226","Exyrias belissimus","Mud reef goby",600370,"Medium",370
"1227","Esox lucius","Northern pike",600258,"Low",258
"1228","Lutjanus griseus","Grey snapper",600266,"Medium",266
"1229","Tinca tinca","Tench",600269,"Medium",269
"1230","Carassius carassius","Crucian carp",600270,"Medium",270
"1231","Rutilus rutilus","Roach",600272,"Medium",272
"1232","Hypophthalmichthys nobilis","Bighead carp",600275,"Medium",275
"1233","Pelecus cultratus","Sichel",600283,"Medium",283
"1234","Barbonymus gonionotus","Silver barb",600286,"Medium",286
"1235","Silurus glanis","Wels catfish",600289,"Low",289
"1236","Conger orbignianus","Argentine conger",600299,"Medium",299
"1237","Conger oceanicus","American conger",600300,"Low",300
"1238","Lota lota","Burbot",600310,"Low",310
"1239","Urophycis brasiliensis","Brazilian codling",600311,"Medium",311
"1240","Gymnocranius microdon","Bluespotted largeeye bream",601839,"Medium",1839
"1241","Lethrinus erythropterus","Longfin emperor",601842,"Medium",1842
"1242","Lethrinus mahsena","Sky emperor",601843,"Medium",1843
"1243","Lethrinus borbonicus","Snubnose emperor",601844,"Medium",1844
"1244","Lethrinus microdon","Smalltooth emperor",601845,"Medium",1845
"1245","Lethrinus nebulosus","Spangled emperor",601846,"Low",1846
"1246","Lethrinus obsoletus","Orangestriped emperor",601847,"Low",1847
"1247","Lethrinus erythracanthus","Orangespotted emperor",601862,"Medium",1862
"1248","Eleutheronema tetradactylum","Fourfinger threadfin",600340,"Medium",340
"1249","Channa micropeltes","Indonesian snakehead",600344,"Low",344
"1250","Centropomus undecimalis","Common snook",600345,"Medium",345
"1251","Polyprion oxygeneios","Hapuka",600350,"Very low",350
"1252","Paralabrax humeralis","Peruvian rock seabass",600352,"Medium",352
"1253","Lethrinus ornatus","Ornate emperor",601866,"High",1866
"1254","Lethrinus atlanticus","Atlantic emperor",601867,"Medium",1867
"1255","Monotaxis grandoculis","Humpnose bigeye bream",601869,"Medium",1869
"1256","Xiphias gladius","Swordfish",600226,"Low",226
"1257","Perca fluviatilis","European perch",600358,"Low",358
"1258","Centropristis striata","Black seabass",600361,"Low",361
"1259","Lopholatilus chamaeleonticeps","Great northern tilefish",600362,"Low",362
"1260","Wattsia mossambica","Mozambique largeeye bream",601870,"High",1870
"1261","Atlantoraja castelnaui","Spotback skate",614143,"Low",14143
"1262","Notopogon lilliei","Crested bellowfish",614266,"Medium",14266
"1263","Nemadactylus monodactylus","St. Pauls fingerfin",614282,"Low",14282
"1264","Thunnus orientalis","Pacific bluefin tuna",614290,"Low",14290
"1265","Chaetodon lunulatus","Oval butterflyfish",614300,"Medium",14300
"1266","Hemiramphus archipelagicus","Jumping halfbeak",614303,"High",14303
"1267","Pterygotrigla picta","Spotted gurnard",614327,"Medium",14327
"1268","Scarus persicus","Gulf parrotfish",614383,"Medium",14383
"1269","Merluccius gayi peruanus","Peruvian hake",614693,"Medium",14693
"1270","Plesiops corallicola","Bluegill longfin",614983,"Medium",14983
"1271","Caprodon longimanus","Pink maomao",615086,"Medium",15086
"1272","Mesogobius batrachocephalus","Knout goby",616305,"Medium",16305
"1273","Symbolophorus barnardi","Barnards lanternfish",616720,"Medium",16720
"1274","Trachyscorpia cristulata echinata","Spiny scorpionfish",617286,"Very low",17286
"1275","Candidia barbata","Candidia barbata",617304,"Medium",17304
"1276","Acanthurus gahhm","Black surgeonfish",617471,"Medium",17471
"1277","Aseraggodes melanostictus","Mottled sole",622522,"High",22522
"1278","Spaniblennius riodourensis","Rio de Oreo blenny",622620,"High",22620
